adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,7.592450880000342,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,994
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,1.0636878640002578,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1051
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,1.5798952169998302,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1101
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,4.575756997000099,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1701
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,4.624567801000012,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1716
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,0.7198821759998282,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,894
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,4.610264875000212,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1713
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,4.590344279999954,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1699
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,4.539388871000028,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,1680
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,0.8570773719998215,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,961
chat,ChatAdapter(use_json_adapter_fallback=False),case-0010,parse_error,AdapterParseError,3.010519823999857,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1459
chat,ChatAdapter(use_json_adapter_fallback=False),case-0011,parse_error,AdapterParseError,1.5428006030001598,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1103
chat,ChatAdapter(use_json_adapter_fallback=False),case-0012,parse_error,AdapterParseError,4.508488889000091,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1706
chat,ChatAdapter(use_json_adapter_fallback=False),case-0013,parse_error,AdapterParseError,0.8572800190004273,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,941
chat,ChatAdapter(use_json_adapter_fallback=False),case-0014,parse_error,AdapterParseError,3.5123531379999804,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1495
chat,ChatAdapter(use_json_adapter_fallback=False),case-0015,parse_error,AdapterParseError,4.672879836999982,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1715
chat,ChatAdapter(use_json_adapter_fallback=False),case-0016,parse_error,AdapterParseError,1.8184385360000306,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name,,1174
chat,ChatAdapter(use_json_adapter_fallback=False),case-0017,parse_error,AdapterParseError,4.585844000999714,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1696
chat,ChatAdapter(use_json_adapter_fallback=False),case-0018,parse_error,AdapterParseError,4.611164794999695,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1718
chat,ChatAdapter(use_json_adapter_fallback=False),case-0019,parse_error,AdapterParseError,1.8360012809998807,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1157
chat,ChatAdapter(use_json_adapter_fallback=False),case-0020,parse_error,AdapterParseError,1.1270875479999631,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,978
chat,ChatAdapter(use_json_adapter_fallback=False),case-0021,parse_error,AdapterParseError,4.587315533000037,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0],,1728
chat,ChatAdapter(use_json_adapter_fallback=False),case-0022,parse_error,AdapterParseError,1.4096707439998681,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name,,1046
