adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,6.476154844000121,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1728
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,parse_error,AdapterParseError,4.569296800998927,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,1718
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,parse_error,AdapterParseError,4.598338549998516,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,1757
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,parse_error,AdapterParseError,4.610636663999685,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1718
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,4.50420185800067,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,1725
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,4.725935484000729,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,1720
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,0.6464051839993772,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,895
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,parse_error,AdapterParseError,4.437446855001326,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1720
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,4.155726826998944,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1619
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,4.5761829759994725,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,1759
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0010,parse_error,AdapterParseError,4.59806631200081,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,1723
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0011,parse_error,AdapterParseError,4.5969982749993505,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1720
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0012,parse_error,AdapterParseError,4.58152780599994,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Money[1];Person;Product;Quantity,,1743
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0013,parse_error,AdapterParseError,0.5732888719994662,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,840
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0014,parse_error,AdapterParseError,4.445886326000618,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person[0];Product;Quantity,,1725
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0015,parse_error,AdapterParseError,4.688686081999549,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1717
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0016,parse_error,AdapterParseError,4.570140493000508,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location[0];Money;Person;Product;Quantity,,1766
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0017,parse_error,AdapterParseError,4.69255410400001,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1720
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0018,parse_error,AdapterParseError,4.593375768999977,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1720
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0019,parse_error,AdapterParseError,4.157275358998959,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,1628
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0020,parse_error,AdapterParseError,4.566677380000328,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1722
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0021,parse_error,AdapterParseError,4.5811538089983515,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money[0];Person;Product;Quantity,,1724
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0022,parse_error,AdapterParseError,4.565665752999848,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1715
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0023,parse_error,AdapterParseError,4.5527659639992635,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1724
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0024,parse_error,AdapterParseError,4.60498937400007,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1753
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0025,parse_error,AdapterParseError,4.546147145998475,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money;Person;Product;Quantity[0],,1723
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0026,parse_error,AdapterParseError,4.6417814690012165,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1719
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0027,parse_error,AdapterParseError,4.551242004999949,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1714
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0028,parse_error,AdapterParseError,4.584705837000001,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,1720
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0029,parse_error,AdapterParseError,4.547678276001534,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location[0];Location[1];Money[0];Person;Product[0];Quantity,,1739
json,JSONAdapter(),financial-ner-0000,validation_error,ValidationError,0.7373040929996932,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1065
json,JSONAdapter(),financial-ner-0001,validation_error,ValidationError,4.6116160709989344,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,1847
json,JSONAdapter(),financial-ner-0002,validation_error,ValidationError,4.687028332999034,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,1886
