adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0000,parse_error,AdapterParseError,12.342727013019612,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3627,0,19,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Subject: Property claim from Jennifer Garcia—CLM-424063 (Shopping Center Incident)\n\n    Hi—this is Jennifer Garcia, and I'm writing because, honestly, I'm still kind of in shock about what happened this morning. They gave me this claim reference CLM-424063 when I called the help line earlier, but I figured I should also email so everything's in writing—it's just been a really stressful day, and I want to make sure nothing gets missed. Not sure how these things usually work, I guess you'll get back to me? Anyway...\n\n    I'm the owner on Policy POL-787532354, with property coverage for my home at 6650 Broadway in Georgetown (you probably have it already under the id 656048, it's the single-family one built in '72—big front yard, needs new gutters, but that's not the issue today). My policy's only been active since December 20th of last year, I think it's valid through all of June. My daughter had a doctor’s appointment at the clinic near the shopping center, so I parked in the lot there at around 8:30 AM and ran inside. When we came back, there were these broken flowerpots and spray paint all over part of our fence panels—they’d actually hauled stuff from some landscaping shop or something and smashed it on our property. I don't even know who’d do that. It looked intentional, not like an accident, and my neighbor Sandra saw two teenagers running off but couldn't see any faces.\n\n    I called the police right away and got the report number (PR-20250822-4864, if that helps). The officer said it counted as property damage, and they made a note of everything. So here's everything, I hope.\n\n    Nothing's really happened like this before, so I'm not sure what to expect, but honestly it looks like around $5,800 worth of repairs—$5,834 is what the contractor estimated, anyway, though my husband keeps thinking it'll cost more with labor. The main thing is the cosmetic repairs, but now I'm worried about the wood swelling if it rains this week. It's just so frustrating because we only painted that fence last year! Oh, and I hope this email is okay for the claim—I never know if I should call again. I did get an email confirmation back when I called in too.\n\n    Let me know if you need more info or pictures (I've got like 40 on my phone, some are blurry because my dog was running around but you can see most of the damage). Sorry this message is long—I'm still kind of frazzled and my coffee spilled all over my planner this morning. Oh, and I hope this email is okay for the claim—I never know if I should call again. I did get an email confirmation back when I called in too.\n\n    Let me know if you need more info or pictures (I've got like 40 on my phone, some are blurry because my dog was running around but you can see most of the damage). Sorry this message is long—I'm still kind of frazzled and my coffee spilled all over my planner this morning. Oh, and I hope this email is okay for the claim—I never know if I should call again. I did get an email confirmation back when I called in too.\n\n    Let me know if you need more info or pictures (I've got like 40 on my phone, some are blurry because my dog was running around but you can see most of the damage). Sorry this message is long—I'm still kind of frazzled and my coffee spilled all over my planner this morning. Oh, and I hope this email is okay for the claim—I never know if I should call again. I did get an email confirmation back when I called in too""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0001,parse_error,AdapterParseError,5.8120666360191535,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3051,0,18,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""type\"": \""object\"",\n    \""properties\"": {\n        \""channel\"": {\""description\"": \""Channel used to report claim\"", \""title\"": \""Channel\""},\n        \""description\"": \""Description of the incident.\"",\n        \""title\"": \""Incident Description\"",\n        \""incident_type\"": {\""description\"": \""Specific standardized incident type where incident occurred.\"", \""enum\"": [\""rear_end_collision\"", \""side_impact_collision\"", \""head_on_collision\"", \""parking_lot_collision\"", \""house_fire\"", \""kitchen_fire\"", \""electrical_fire\"", \""burst_pipe_flood\"", \""storm_damage\"", \""roof_leak\"", \""slip_and_fall\"", \""property_injury\"", \""product_liability\"", \""theft_burglary\"", \""vandalism\""], \""title\"": \""Incident Type\""},\n        \""location_type\"": {\""description\"": \""Standardized location type where incident occurred.\"", \""enum\"": [\""intersection\"", \""highway\"", \""parking_lot\"", \""driveway\"", \""residential_street\"", \""residence_interior\"", \""residence_exterior\"", \""commercial_property\"", \""public_property\""], \""title\"": \""Location Type\""},\n        \""police_report_number\"": {\""description\"": \""Police report number if applicable.\"", \""title\"": \""Police Report Number\""},\n        \""incident_date\"": {\""description\"": \""Date incident occurred in YYYY-MM-DD format.\"", \""title\"": \""Incident Date\""},\n        \""reported_by\"": {\""description\"": \""Full name of person reporting claim.\"", \""title\"": \""Reported By\""},\n        \""channel\"": {\""description\"": \""Channel used to report claim.\"", \""title\"": \""Channel\""},\n        \""claim_id\"": {\""description\"": \""Claim ID in format CLM-XXXXXX, where X is a digit.\"", \""title\"": \""Claim Id\""},\n        \""incident_description\"": {\""description\"": \""Structured incident details.\"", \""title\"": \""Incident Description\""},\n        \""insured_objects\"": {\""description\"": \""List of insured objects involved, if applicable.\"", \""default\"": null, \""description\"": \""If available, a list of objects insured by the policy.\"", \""title\"": \""Insured Objects\""},\n        \""policy_details\"": {\""description\"": \""Policy information if available.\"", \""default\"": null, \""description\"": \""If applicable, a dictionary containing policy details such as coverage type, effective date, expiration date, policy number, and policyholder name.\"", \""title\"": \""PolicyDetails\""}}\n    },\n    \""required\"": [\""incident_type\"", \""location_type\"", \""incident_date\"", \""reported_by\"", \""channel\""],\n    \""title\"": \""ClaimHeader\""\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0002,parse_error,AdapterParseError,2.0640447530022357,1,none,0,11,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects;policy_details,,2860,0,8,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Hi, this is David Taylor again—I already dropped by your office this morning, but thought I'd follow up with a recap, just to get everything straight. When I came in earlier, the lady at the front gave me this claim number, CLM-255335, which she wrote on a sticky note for me. I guess that's the one you need in your system. {claim_text}\""\n}\n\n[[ ## completed ## ]]\n{\n    \""claim_text\"": \""Hi, this is David Taylor again—I already dropped by your office this morning, but thought I'd follow up with a recap, just to get everything straight. When I came in earlier, the lady at the front gave me this claim number, CLM-255335, which she wrote on a sticky note for me. I guess that's the one you need in your system. {claim_text}\""\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0003,parse_error,AdapterParseError,7.849177584022982,1,none,0,26,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;insured_objects[1].estimated_value;insured_objects[1].location_address;insured_objects[1].make_model;insured_objects[1].object_id;insured_objects[1].object_type;insured_objects[1].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3406,0,24,0.0,0,"[""```python\n{\n    \""claim\"": {\n        \""claim_text\"": \""Portal submission timestamp: 2025-08-30\\nSubmitted by Jennifer Johnson\\nClaim ID: CLM-988147\\nPolicy Number: POL-467268181\\nIncident Details:\\n\\nDate: August 30, 2025\\nLocation: Shopping center parking lot, Highland Avenue\\nTime: Approximately 12:30 PM\\n\\nDescription: I was driving my 2019 Mercedes GLC (VIN: VIN19157663903019200) when another vehicle struck the driver's side in a T-bone collision. The impact occurred as I was navigating through the parking lot near the intersection by the new coffee shop.\"",\n        \""insured_objects\"": [\n            {\n                \""insured_object_id\"": \""VIN19157663903019200\"",\n                \""insured_object_type\"": \""Vehicle\"",\n                \""insured_value\"": \""20,372\""\n            },\n            {\n                \""insured_object_id\"": \""VIN95384130612982136\"",\n                \""insured_object_type\"": \""Vehicle\"",\n                \""insured_value\"": \""15,265\""\n            }\n        ],\n        \""policy_details\"": {\n            \""coverage_type\"": \""Auto\"",\n            \""effective_date\"": \""November 19, 2023\"",\n            \""expiration_date\"": \""May 31, 2025\"",\n            \""policyholder_name\"": \""Jennifer Johnson\""\n        },\n        \""policy_information\"": {\n            \""policy_number\"": \""POL-467268181\"",\n            \""policyholder_name\"": \""Jennifer Johnson\"",\n            \""policyholder_address\"": \""123 Main Street, Anytown, USA\""\n        },\n        \""policy_details_additional_notes\"": {\n            \""submitted_same_day\"": \""True\"",\n            \""photos_uploaded\"": \""True\"",\n            \""documentation_uploaded\"": \""True\""\n        }\n    }\n}\n\n{\n    \""claim\"": {\n        \""claim_text\"": \""Police report: Officer responded to scene\\nReport Number: PR-20250830-7127\\nOfficial report pending due to department backlog\\nAdditional Notes: Submitted same day as incident.\"",\n        \""insured_objects\"": [\n            {\n                \""insured_object_id\"": \""VIN19157663903019200\"",\n                \""insured_object_type\"": \""Vehicle\"",\n                \""insured_value\"": \""20,372\""\n            },\n            {\n                \""insured_object_id\"": \""VIN95384130612982136\"",\n                \""insured_object_type\"": \""Vehicle\"",\n                \""insured_value\"": \""15,265\""\n            }\n        ],\n        \""policy_details\"": {\n            \""coverage_type\"": \""Auto\"",\n            \""effective_date\"": \""November 19, 2023\"",\n            \""expiration_date\"": \""May 31, 2025\"",\n            \""policyholder_name\"": \""Jennifer Johnson\"",\n            \""policyholder_address\"": \""123 Main Street, Anytown, USA\""\n        },\n        \""policy_information\"": {\n            \""policy_number\"": \""POL-467268181\"",\n            \""policyholder_name\"": \""Jennifer Johnson\"",\n            \""policyholder_address\"": \""123 Main Street, Anytown, USA""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0004,parse_error,AdapterParseError,3.703134251991287,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3180,0,17,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Portal submission timestamp: 2025-08-22\"",\n    \""insured_objects\"": [\n        {\""description\"": \""List of insured objects involved, if applicable\"", \""default\"": null},\n        {\""description\"": \""Insured Objects\"", \""default\"": null}\n    ],\n    \""policy_details\"": {\n        \""policy_number\"": {\""description\"": \""Policy number in format POL-XXXXXXXXX, where X is a digit\"", \""default\"": null},\n        \""policyholder_name\"": {\""description\"": \""Full legal name on policy\"", \""title\"": \""Policyholder Name\""},\n        \""coverage_type\"": {\""description\"": \""Type of insurance coverage\"", \""enum\"": [\""Property\"", \""Auto\"", \""Liability\"", \""Health\"", \""Travel\"", \""Other\""]},\n        \""effective_date\"": {\""description\"": \""Policy effective start date in YYYY-MM-DD format\"", \""title\"": \""Effective Date\""},\n        \""expiration_date\"": {\""description\"": \""Policy expiration end date in YYYY-MM-DD format\"", \""title\"": \""Expiration Date\""},\n        \""policyholder_name\"": {\""description\"": \""Policyholder Name\"", \""title\"": \""Policyholder Name\""},\n        \""insured_objects\"": [\n            {\""description\"": \""Insured Objects\"", \""default\"": null},\n            {\""description\"": \""Insured Objects\"", \""default\"": null}\n        ]\n    },\n    \""required\"": [\""policy_number\"", \""policyholder_name\"", \""coverage_type\"", \""effective_date\"", \""expiration_date\""]\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0005,parse_error,AdapterParseError,7.492953336011851,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3596,0,18,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Hi, so I'm Jennifer Davis, and I'm emailing because I was told to reach out to your office about what happened at my property earlier this week—I believe I was given a case or claim number, CLM-509317? Sorry, I have all these numbers and dates floating around right now, with so much paperwork. I hope this is the right one.\"",\n    \""claim_id\"": \""CLM-509317\"",\n    \""incident_date\"": \""2025-09-04\"",\n    \""report_date\"": \""2025-09-04\"",\n    \""incident_type\"": \""slip_and_fall\"",\n    \""location_type\"": \""residential_street\"",\n    \""insured_objects\"": [\n        {\n            \""insured_object_id\"": \""CLM-509317\"",\n            \""insured_object_type\"": \""Residential Property\"",\n            \""insured_value\"": \""463,611\"",\n            \""insured_coverage_type\"": \""Liability\"",\n            \""insured_coverage_limit\"": \""21,040\""\n        },\n        {\n            \""insured_object_id\"": \""CLM-509317\"",\n            \""insured_object_type\"": \""Residential Property\"",\n            \""insured_value\"": \""21,040\"",\n            \""insured_coverage_type\"": \""Liability\"",\n            \""insured_coverage_limit\"": \""21,040\""\n        }\n    ],\n    \""policy_details\"": {\n        \""policy_number\"": \""POL-756977389\"",\n        \""policyholder_name\"": \""Jennifer Davis\"",\n        \""policyholder_address\"": \""9350 Broadway, Springfield\"",\n        \""policy_coverage_type\"": \""Liability\"",\n        \""policy_coverage_limit\"": \""21,040\""\n    },\n    \""insured_objects\"": [\n        {\n            \""insured_object_id\"": \""CLM-509317\"",\n            \""insured_object_type\"": \""Residential Property\"",\n            \""insured_value\"": \""21,040\"",\n            \""insured_coverage_type\"": \""Liability\"",\n            \""insured_coverage_limit\"": \""21,040\""\n        },\n        {\n            \""insured_object_id\"": \""CLM-509317\"",\n            \""insured_object_type\"": \""Residential Property\"",\n            \""insured_value\"": \""21,040\"",\n            \""insured_coverage_type\"": \""Liability\"",\n            \""insured_coverage_limit\"": \""21,040\""\n        }\n    ],\n    \""policy_details\"": {\n        \""policy_number\"": \""POL-756977389\"",\n        \""policyholder_name\"": \""Jennifer Davis\"",\n        \""policyholder_address\"": \""9350 Broadway, Springfield\"",\n        \""policy_coverage_type\"": \""Liability\"",\n        \""policy_coverage_limit\"": \""21,040\""\n    },\n    \""policyholder_name\"": \""Jennifer Davis\"",\n    \""policyholder_address\"": \""9350 Broadway, Springfield\"",\n    \""policy_coverage_type\"": \""Liability\"",\n    \""policy_coverage_limit\"": \""21,040\""\n}\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0006,parse_error,AdapterParseError,4.3947931159927975,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3287,0,19,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""In-person intake completed by agent. System timestamp: 2025-09-03.\"",\n    \""claim_id\"": \""CLM-860535\"",\n    \""incident_date\"": \""2025-09-03\"",\n    \""report_date\"": \""2025-09-03\"",\n    \""reported_by\"": \""Robert Thompson\"",\n    \""incident_type\"": \""plumbing\"",\n    \""estimated_damage_amount\"": 19400,\n    \""policy_number\"": \""635143\"",\n    \""policyholder_name\"": \""Robert Thompson\"",\n    \""insured_objects\"": [\n        {\n            \""insured_object_id\"": \""635143\"",\n            \""insured_object_type\"": \""Property\"",\n            \""insured_value\"": 720992\n        },\n        {\n            \""insured_object_id\"": \""CLM-860535\"",\n            \""insured_object_type\"": \""Property\"",\n            \""insured_value\"": 720992\n        }\n    ],\n    \""policy_details\"": {\n        \""coverage_type\"": \""Property\"",\n        \""effective_date\"": \""2025-09-03\"",\n        \""expiration_date\"": \""2025-09-27\"",\n        \""policyholder_name\"": \""Robert Thompson\"",\n        \""insured_objects\"": [\n            {\n                \""insured_object_id\"": \""CLM-860535\"",\n                \""insured_object_type\"": \""Property\"",\n                \""insured_value\"": 720992\n            },\n            {\n                \""insured_object_id\"": \""635143\"",\n                \""insured_object_type\"": \""Property\"",\n                \""insured_value\"": 720992\n            }\n        ]\n    }\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0007,parse_error,AdapterParseError,7.991294431994902,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3645,0,17,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Hey, so I guess I need to talk to someone about what happened at my building earlier this week. I'm David Johnson—my policy is 'POL-314055462'. I live over on Church Street in Georgetown, house number 9600, the yellow house, you probably know it if you're ever over on this side of town, which only has residential properties. Anyway, let me just get this out, because it's all been kind of a mess and honestly I'm still kind of rattled from it. It was two days ago—I think Thursday, no wait, Wednesday, which… well if today’s Friday (I mean, I told the lady on the phone all this already, and she said she’d file the report on 8/30, which is today), so the fall happened on 8/28. Sorry, I never keep dates straight, it’s been a long week with the weather being all over the place. So, what happened was, this guy, I think his name is Martin—he was visiting, and I guess he slipped on the edge of the sidewalk right by my property, but the thing is, I’m pretty sure that’s technically city property. Like, the part between the sidewalk and the street; everyone always says we’re responsible for keeping it mowed, but I didn’t really think about liability before this. Martin went down hard—just totally lost his balance and landed awkward on his arm. I called 911 because he was in a lot of pain, and we waited for the ambulance together. The neighbors were out watching; Judy from next door actually brought out some water, so if you need to talk to anyone else about what they saw, she was there, although she’s got a lot going on with her own house since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she’s been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been redoing her porch since she's been""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0008,parse_error,AdapterParseError,8.022475375997601,1,none,0,11,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects;policy_details,,3642,0,8,0.0,0,"[""```python\n[[ ## claim_text ## ]]\nHi there, this is David Davis. I’m calling because, well, I was told to call my insurance company and file something about what happened today at my store. I’m still a little shaken up, to be honest—the whole thing was just, I don’t know, out of nowhere. Anyway, I don’t really know what to say, but when I first called in, the lady I spoke to gave me a claim number—CLM-531517, I think she said—so I’m hoping that’s the right one. She told me to keep it handy, so I’ve got it written down here on a sticky note next to my computer.\n\nSo today—I mean, it’s the same day I’m calling you, which is August 22nd 2025, right? Yeah, Thursday. All the mornings blend together for me, but I keep track when things like this happen. Anyway, there was a customer, I think her name was Mrs. Patterson (she comes in a lot for our cinnamon bread), but I’m not totally sure—it’s all a blur since the paramedics showed up. She slipped right in the front by the big window, near the display with the plants and the birthday cards. Someone had spilled water, I guess—though I swear we try to keep that area dry, especially after we mop in the morning. It wasn’t even raining, so I don’t know where the water came from, maybe from the flower buckets.\n\nShe went down pretty hard. I called 911 right away. There was surprisingly a police officer nearby—I think he was getting his coffee at the corner—so he was at the shop before the ambulance even got there. I think the police did a report, or at least that’s what he said. All the paperwork was overwhelming, but I believe the number he gave me was PR-20250822-6127. I’m not really sure how these things go but I hope that helps.\n\nIt’s been chaotic, honestly. While all that was going on, the bread delivery showed up and my dog kept barking from the back room, totally unrelated, but it was just a lot happening at once. I tried to check if she was okay but I don’t know first aid or anything, and I didn’t want to move her.\n\nNow everyone keeps asking if she’s going to try to sue or something, which is making me pretty nervous. A couple of my employees were there—Lisa and Jamie—and they’re a bit shaken too. We closed for the afternoon to clean up and everyone’s just kind of jumpy now. That’s probably not important for the claim but I thought you should know.\n\nJust to be clear, I’m reporting this on the phone right now (they said that would be fine), and the incident happened earlier today, before noon. The officer said he’d send a copy of the report to whoever needed it—insurance or lawyers, maybe—even though, again, I have\n```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Hi there, this is David Davis. I'm calling because, well, I was told to call my insurance company and file something about what happened today at my store. I'm still a little shaken up, to be honest—the whole thing was just, I don't know, out of nowhere. Anyway, I don't really know what to say, but when I first called in, the lady I spoke to gave me a claim number—CLM-531517, I think she said—so I'm hoping that's the right one. She told me to keep it handy, so I've got it written down here on a sticky note next to my computer.\n\n    Today—I mean, it's the same day I'm calling you, which is August 22nd 2025, right? Yeah, Thursday. All the mornings blend together for me, but I keep track when things like this happen""]"
chat,ChatAdapter(use_json_adapter_fallback=False),insurance-claims-0009,parse_error,AdapterParseError,7.973678028007271,1,none,0,20,0.0,False,,header.channel;header.claim_id;header.incident_date;header.report_date;header.reported_by;incident_description.estimated_damage_amount;incident_description.incident_type;incident_description.location_type;incident_description.police_report_number;insured_objects[0].estimated_value;insured_objects[0].location_address;insured_objects[0].make_model;insured_objects[0].object_id;insured_objects[0].object_type;insured_objects[0].year;policy_details.coverage_type;policy_details.effective_date;policy_details.expiration_date;policy_details.policy_number;policy_details.policyholder_name,,3665,0,18,0.0,0,"[""```python\n[[ ## claim ## ]]\n{\n    \""claim_text\"": \""Hi there, I hope I'm in the right place—this is Lisa Garcia. I was asked to give all the details again just to make sure everything is in the system, so here goes. I called in on Monday, the 19th (I think that's today?), and the person on the phone gave me that claim number, CLM-692408, so I'd have it handy. They said it helps keep track, in case I get different agents—or if you're all busy when I call back. Anyway. So, yeah, sorry if this is too much, but better to have all the details than not enough, right? Oh, and William's insurance stuff is all bundled with our home, so if you see weird cross-references, that's why. {{ claim_text }}\"",\n    \""claim_id\"": \""CLM-692408\"",\n    \""incident_date\"": \""2025-08-19\"",\n    \""incident_time\"": \""19:00\"",\n    \""report_date\"": \""2025-08-20\"",\n    \""incident_type\"": \""rear_end_collision\"",\n    \""location_type\"": \""residential_street\"",\n    \""police_report_number\"": \""PR-20250817-9170\"",\n    \""insured_objects\"": [\n        {\n            \""insured_object_id\"": \""CLM-692408\"",\n            \""insured_object_type\"": \""Vehicle\"",\n            \""insured_object_value\"": \""16433.00\"",\n            \""insured_object_date\"": \""2025-08-07\"",\n            \""insured_object_type_code\"": \""Auto\""\n        },\n        {\n            \""insured_object_id\"": \""POL-575631637\"",\n            \""insured_object_type\"": \""Vehicle\"",\n            \""insured_object_value\"": \""16563.00\"",\n            \""insured_object_date\"": \""2025-08-07\"",\n            \""insured_object_type_code\"": \""Auto\""\n        }\n    ],\n    \""policy_details\"": {\n        \""coverage_type\"": \""Auto\"",\n        \""effective_date\"": \""2025-08-01\"",\n        \""expiration_date\"": \""2025-08-06\"",\n        \""policyholder_name\"": \""Lisa Garcia\"",\n        \""insured_objects\"": [\n            {\n                \""insured_object_id\"": \""CLM-692408\"",\n                \""insured_object_type\"": \""Vehicle\"",\n                \""insured_object_value\"": \""16433.00\"",\n                \""insured_object_date\"": \""2025-08-07\"",\n                \""insured_object_type_code\"": \""Auto\""\n            },\n            {\n                \""insured_object_id\"": \""POL-575631637\"",\n                \""insured_object_type\"": \""Vehicle\"",\n                \""insured_object_value\"": \""16563.00\"",\n                \""insured_object_date\"": \""2025-08-07\"",\n                \""insured_object_type_code\"": \""Auto\""\n            }\n        ]\n    },\n    \""policy_details\"": {\n        \""coverage_type\"": \""Auto\"",\n        \""effective_date\"": \""2025-08-01\"",\n        \""expiration_date\"": \""2025-08-06\"",\n        \""policyholder_name\"": \""Lisa Garcia\"",\n        \""insured""]"
