adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,5.660996655002236,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1365,0,10,0.0,0,"[""```python\n[[ ## record ## ]]\n{text}\n\n[[ ## completed ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,2.176470064005116,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1385,0,14,0.0,0,"[""```python\n[[ ## record ## ]]\n{text}\n\n[[ ## completed ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,2.11642975002178,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1328,0,8,0.0,0,"[""```python\n[[ ## completed ## ]]\n{text}\n\n[[ ## text ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,2.1975105100136716,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1343,0,11,0.0,0,"[""```python\n[[ ## record ## ]]\n{text}\n\n[[ ## completed ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,2.0070095009868965,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1328,0,10,0.0,0,"[""```python\n[\n    {\n        \""text\"": \""Katherine Torvalds, aged 40, lives at 12 Baker St in London.\"",\n        \""record\"": {\n            \""type\"": \""object\"",\n            \""description\"": \""A person record.\"",\n            \""properties\"": {\n                \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""},\n                \""age\"": {\""type\"": \""integer\"", \""maximum\"": 40, \""minimum\"": 40},\n                \""address\"": {\""type\"": \""object\"", \""description\"": \""A postal address.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}, \""contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""address\"", \""contact\""]\n            },\n            \""required\"": [\""name\"", \""age\"", \""address\""],\n            \""title\"": \""PersonRecord\""\n        },\n        \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"",\n        \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 40, \""minimum\"": 40},\n        \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""},\n        \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null},\n        \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""},\n        \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}},\n        \""required\"": [\""name\"", \""age\"", \""address\""],\n        \""title\"": \""PersonRecord\""\n    }\n]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,1.423675721976906,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1086,0,6,0.0,0,"[""```python\n[[ ## completed ## ]]\n{text}\n\n[[ ## text ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,2.07703050901182,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1355,0,12,0.0,0,"[""```python\n[[ ## record ## ]]\n{text}\n\n[[ ## completed ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,2.12854607499321,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1340,0,10,0.0,0,"[""```python\n[[ ## record ## ]]\n{text}\n\n[[ ## completed ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,2.154639396001585,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,1338,0,7,0.0,0,"[""```python\n[\n    {\n        \""text\"": \""Katherine Liskov — 21 this year — resides at 5 Rue Lafayette in Paris.\"",\n        \""record\"": \""PersonRecord\"",\n        \""type\"": \""object\"",\n        \""defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""},\n        \""contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""},\n        \""employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,2.103127078997204,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1345,0,10,0.0,0,"[""```python\n[[ ## record ## ]]\n{text}\n\n[[ ## completed ## ]]\n{record}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""$defs\"": {\""Address\"": {\""type\"": \""object\"", \""description\"": \""A postal address; ``postcode`` is genuinely optional in the rendered prose.\"", \""properties\"": {\""city\"": {\""type\"": \""string\"", \""title\"": \""City\""}, \""postcode\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Postcode\""}, \""street\"": {\""type\"": \""string\"", \""title\"": \""Street\""}}, \""required\"": [\""street\"", \""city\""], \""title\"": \""Address\""}, \""Contact\"": {\""type\"": \""object\"", \""description\"": \""One contact method; ``phone`` is often absent.\"", \""properties\"": {\""email\"": {\""type\"": \""string\"", \""title\"": \""Email\""}, \""phone\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Phone\""}}, \""required\"": [\""email\""], \""title\"": \""Contact\""}, \""Employment\"": {\""type\"": \""object\"", \""description\"": \""Current employment. The whole object is omitted for unemployed records.\"", \""properties\"": {\""company\"": {\""type\"": \""string\"", \""title\"": \""Company\""}, \""role\"": {\""type\"": \""string\"", \""title\"": \""Role\""}, \""years\"": {\""type\"": \""integer\"", \""maximum\"": 50, \""minimum\"": 0, \""title\"": \""Years\""}}, \""required\"": [\""company\"", \""role\"", \""years\""], \""title\"": \""Employment\""}}, \""description\"": \""The extraction target: nested models, an optional object, and two lists.\\n\\nDeliberately shaped like the reference benchmarks' targets - nesting, optionality and\\nrepetition are where schema-following actually breaks down, and a flat model would\\nmake every adapter look identical.\"", \""properties\"": {\""address\"": {\""$ref\"": \""#/$defs/Address\""}, \""age\"": {\""type\"": \""integer\"", \""maximum\"": 120, \""minimum\"": 0, \""title\"": \""Age\""}, \""contacts\"": {\""type\"": \""array\"", \""items\"": {\""$ref\"": \""#/$defs/Contact\""}, \""title\"": \""Contacts\""}, \""employment\"": {\""anyOf\"": [{\""$ref\"": \""#/$defs/Employment\""}, {\""type\"": \""null\""}], \""default\"": null}, \""name\"": {\""type\"": \""string\"", \""title\"": \""Name\""}, \""tags\"": {\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}, \""title\"": \""Tags\""}}, \""required\"": [\""name\"", \""age\"", \""address\""], \""title\"": \""PersonRecord\""}\n```""]"
