adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,18.719092142011505,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1365
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,2.4684000939887483,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1385
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,2.408591985993553,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1328
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,2.3990743519971147,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1343
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,2.2227084240003023,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1328
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,1.49312656300026,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1086
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,2.3749082180147525,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1355
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,2.3230287460028194,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1340
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,2.426984996011015,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,1338
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,2.3298573259962723,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1345
chat,ChatAdapter(use_json_adapter_fallback=False),case-0010,parse_error,AdapterParseError,2.3912389620090835,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1383
chat,ChatAdapter(use_json_adapter_fallback=False),case-0011,parse_error,AdapterParseError,3.6749162579944823,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1672
chat,ChatAdapter(use_json_adapter_fallback=False),case-0012,parse_error,AdapterParseError,3.3394358049845323,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1668
chat,ChatAdapter(use_json_adapter_fallback=False),case-0013,parse_error,AdapterParseError,2.1039715530059766,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,1339
chat,ChatAdapter(use_json_adapter_fallback=False),case-0014,parse_error,AdapterParseError,1.4826714779774193,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1157
chat,ChatAdapter(use_json_adapter_fallback=False),case-0015,parse_error,AdapterParseError,2.135615153994877,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1357
chat,ChatAdapter(use_json_adapter_fallback=False),case-0016,parse_error,AdapterParseError,2.121235609985888,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name,,1386
chat,ChatAdapter(use_json_adapter_fallback=False),case-0017,parse_error,AdapterParseError,2.1042011470126454,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1340
chat,ChatAdapter(use_json_adapter_fallback=False),case-0018,parse_error,AdapterParseError,2.117786488001002,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1356
chat,ChatAdapter(use_json_adapter_fallback=False),case-0019,parse_error,AdapterParseError,2.096723939990625,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1352
chat,ChatAdapter(use_json_adapter_fallback=False),case-0020,parse_error,AdapterParseError,2.1537358890054747,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1311
chat,ChatAdapter(use_json_adapter_fallback=False),case-0021,parse_error,AdapterParseError,2.1214291020005476,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0],,1366
chat,ChatAdapter(use_json_adapter_fallback=False),case-0022,parse_error,AdapterParseError,3.3354936149844434,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name,,1664
chat,ChatAdapter(use_json_adapter_fallback=False),case-0023,parse_error,AdapterParseError,2.1358994960028213,1,none,0,15,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1380
chat,ChatAdapter(use_json_adapter_fallback=False),case-0024,parse_error,AdapterParseError,2.7819075179868378,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1557
chat,ChatAdapter(use_json_adapter_fallback=False),case-0025,parse_error,AdapterParseError,2.10633548599435,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name,,1357
chat,ChatAdapter(use_json_adapter_fallback=False),case-0026,parse_error,AdapterParseError,2.1002073679992463,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1352
chat,ChatAdapter(use_json_adapter_fallback=False),case-0027,parse_error,AdapterParseError,2.0586058119952213,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1332
chat,ChatAdapter(use_json_adapter_fallback=False),case-0028,parse_error,AdapterParseError,2.1144604249857366,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1347
chat,ChatAdapter(use_json_adapter_fallback=False),case-0029,parse_error,AdapterParseError,3.2213319149741437,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1670
json,JSONAdapter(),case-0000,validation_error,ValidationError,2.583927172003314,1,json_object,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1505
json,JSONAdapter(),case-0001,validation_error,ValidationError,0.6057045969937462,1,json_object,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,992
json,JSONAdapter(),case-0002,validation_error,ValidationError,0.6231627259985544,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,869
json,JSONAdapter(),case-0003,validation_error,ValidationError,0.6025178679847158,1,json_object,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,960
json,JSONAdapter(),case-0004,validation_error,ValidationError,0.2733878930157516,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,884
json,JSONAdapter(),case-0005,validation_error,ValidationError,2.593581062013982,1,json_object,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1436
json,JSONAdapter(),case-0006,validation_error,ValidationError,2.6000636570097413,1,json_object,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1514
json,JSONAdapter(),case-0007,validation_error,ValidationError,0.5505070910148788,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,937
json,JSONAdapter(),case-0008,validation_error,ValidationError,0.2958317610027734,1,json_object,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,858
json,JSONAdapter(),case-0009,validation_error,ValidationError,2.475837824982591,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1483
json,JSONAdapter(),case-0010,validation_error,ValidationError,0.9661013669974636,1,json_object,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1096
json,JSONAdapter(),case-0011,validation_error,ValidationError,0.7237728420004714,1,json_object,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1000
json,JSONAdapter(),case-0012,validation_error,ValidationError,0.5222844859817997,1,json_object,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,940
