adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
json,JSONAdapter(),case-0000,ok,,6.8657456950168125,1,json_object,10,12,0.8333,False,contacts[0].phone;contacts[1].phone,,,1024,9,10,0.9,1,"[""{\n  \""record\"": {\n    \""name\"": \""Edsger Dijkstra\"",\n    \""age\"": 57,\n    \""address\"": {\n      \""city\"": \""Cupertino\"",\n      \""postcode\"": \""40212\"",\n      \""street\"": \""88 Königsallee\""\n    },\n    \""contacts\"": [\n      {\n        \""email\"": \""edsger.dijkstra@mail.test\"",\n        \""phone\"": \""+13 733 5104\""\n      },\n      {\n        \""email\"": \""edsger.dijkstra1@corp.example\"",\n        \""phone\"": null\n      }\n    ],\n    \""employment\"": null,\n    \""tags\"": [\""distributed-systems\"", \""cryptography\""]\n  }\n}""]"
json,JSONAdapter(),case-0001,ok,,1.7818813679623418,1,json_object,14,14,1.0,True,,,,1084,14,14,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Alan Hopper\"",\n    \""age\"": 20,\n    \""address\"": {\n      \""city\"": \""Osaka\"",\n      \""postcode\"": \""75009\"",\n      \""street\"": \""1 Infinite Loop\""\n    },\n    \""contacts\"": [\n      {\n        \""email\"": \""alan.hopper@post.example\"",\n        \""phone\"": \""+98 885 1034\""\n      },\n      {\n        \""email\"": \""alan.hopper1@post.example\"",\n        \""phone\"": \""+30 705 2674\""\n      }\n    ],\n    \""employment\"": {\n      \""company\"": \""Analytical Engines Ltd\"",\n      \""role\"": \""network designer\"",\n      \""years\"": 1\n    },\n    \""tags\"": [\""compilers\"", \""mathematics\""]\n  }\n}""]"
json,JSONAdapter(),case-0002,ok,,1.0329260170110501,1,json_object,10,10,1.0,True,,,,941,8,8,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Ada Hopper\"",\n    \""age\"": 68,\n    \""address\"": {\n      \""city\"": \""Paris\"",\n      \""postcode\"": \""08540\"",\n      \""street\"": \""7 Nassau St\""\n    },\n    \""contacts\"": [\n      {\n        \""email\"": \""ada.hopper@example.com\""\n      }\n    ],\n    \""employment\"": null,\n    \""tags\"": [\""cryptography\"", \""networking\""]\n  }\n}""]"
json,JSONAdapter(),case-0003,ok,,1.1162473509903066,1,json_object,11,11,1.0,True,,,,969,11,11,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Katherine Turing\"",\n    \""age\"": 37,\n    \""address\"": {\n      \""city\"": \""Osaka\"",\n      \""postcode\"": \""95014\"",\n      \""street\"": \""12 Baker St\""\n    },\n    \""contacts\"": [],\n    \""employment\"": {\n      \""company\"": \""Bell Labs\"",\n      \""role\"": \""research lead\"",\n      \""years\"": 7\n    },\n    \""tags\"": [\""networking\"", \""distributed-systems\"", \""cryptography\""]\n  }\n}""]"
json,JSONAdapter(),case-0004,ok,,1.3243434689939022,1,json_object,10,10,1.0,True,,,,1009,10,10,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Katherine Torvalds\"",\n    \""age\"": 40,\n    \""address\"": {\n      \""city\"": \""London\"",\n      \""postcode\"": \""95014\"",\n      \""street\"": \""12 Baker St\""\n    },\n    \""contacts\"": [\n      {\n        \""email\"": \""katherine.torvalds@example.com\"",\n        \""phone\"": \""+69 468 5533\""\n      }\n    ],\n    \""employment\"": {\n      \""company\"": \""Sun Micro\"",\n      \""role\"": \""compiler architect\"",\n      \""years\"": 26\n    }\n  }\n}""]"
json,JSONAdapter(),case-0005,ok,,0.836051534046419,1,json_object,8,8,1.0,True,,,,901,6,6,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Linus Liskov\"",\n    \""age\"": 32,\n    \""address\"": {\n      \""city\"": \""Kraków\"",\n      \""postcode\"": null,\n      \""street\"": \""5 Rue Lafayette\""\n    },\n    \""contacts\"": [],\n    \""employment\"": null,\n    \""tags\"": [\""mathematics\"", \""cryptography\""]\n  }\n}""]"
json,JSONAdapter(),case-0006,ok,,1.4754741300130263,1,json_object,13,13,1.0,True,,,,1024,12,12,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Grace Perlman\"",\n    \""age\"": 90,\n    \""address\"": {\n      \""city\"": \""Osaka\"",\n      \""postcode\"": null,\n      \""street\"": \""1 Infinite Loop\""\n    },\n    \""contacts\"": [\n      {\n        \""email\"": \""grace.perlman@example.com\"",\n        \""phone\"": \""+26 847 7783\""\n      }\n    ],\n    \""employment\"": {\n      \""company\"": \""Bell Labs\"",\n      \""role\"": \""compiler architect\"",\n      \""years\"": 25\n    },\n    \""tags\"": [\n      \""distributed-systems\"",\n      \""mathematics\"",\n      \""networking\""\n    ]\n  }\n}""]"
json,JSONAdapter(),case-0007,ok,,1.2517709090025164,1,json_object,10,10,1.0,False,,,contacts[0].email;contacts[0].phone,984,10,10,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Barbara Turing\"",\n    \""age\"": 26,\n    \""address\"": {\n      \""city\"": \""London\"",\n      \""postcode\"": \""08540\"",\n      \""street\"": \""7 Nassau St\""\n    },\n    \""contacts\"": [\n      {\n        \""email\"": \""\"",\n        \""phone\"": \""\""\n      }\n    ],\n    \""employment\"": {\n      \""company\"": \""Naval Systems\"",\n      \""role\"": \""staff engineer\"",\n      \""years\"": 3\n    },\n    \""tags\"": [\""networking\"", \""distributed-systems\""]\n  }\n}""]"
json,JSONAdapter(),case-0008,ok,,0.9672195590101182,1,json_object,8,8,1.0,True,,,,927,7,7,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Katherine Liskov\"",\n    \""age\"": 21,\n    \""address\"": {\n      \""city\"": \""Paris\"",\n      \""postcode\"": null,\n      \""street\"": \""5 Rue Lafayette\""\n    },\n    \""contacts\"": [],\n    \""employment\"": {\n      \""company\"": \""Sun Micro\"",\n      \""role\"": \""research lead\"",\n      \""years\"": 13\n    }\n  }\n}""]"
json,JSONAdapter(),case-0009,ok,,1.1502758099813946,1,json_object,10,10,1.0,True,,,,973,10,10,1.0,0,"[""{\n  \""record\"": {\n    \""name\"": \""Radia Liskov\"",\n    \""age\"": 66,\n    \""address\"": {\n      \""city\"": \""Cupertino\"",\n      \""postcode\"": \""08540\"",\n      \""street\"": \""7 Nassau St\""\n    },\n    \""contacts\"": [],\n    \""employment\"": {\n      \""company\"": \""Analytical Engines Ltd\"",\n      \""role\"": \""compiler architect\"",\n      \""years\"": 18\n    },\n    \""tags\"": [\""distributed-systems\"", \""mathematics\""]\n  }\n}""]"
