adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,13.422563022002578,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,880,0,2,0.0,0,"[""```json\n{\n\""entities\"": {\n  \""Company\"": [\n    \""Albertsons\"",\n    \""Rite Aid\""\n  ],\n  \""Date\"": [],\n  \""Location\"": [],\n  \""Money\"": [],\n  \""Person\"": [],\n  \""Product\"": [],\n  \""Quantity\"": []\n}\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,parse_error,AdapterParseError,0.9713773010007571,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,897,0,3,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Essilor\"",\n      \""Luxottica\""\n    ],\n    \""Date\"": [],\n    \""Location\"": [],\n    \""Money\"": [],\n    \""Person\"": [],\n    \""Product\"": [\n      \""Contact lenses\"",\n      \""Eyewear\"",\n      \""Brands of eyewear\""\n    ],\n    \""Quantity\"": []\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,parse_error,AdapterParseError,0.9224582850001752,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,934,0,7,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Broadcom\"",\n      \""Qualcomms\""\n    ],\n    \""Date\"": [\n      \""February 21\""\n    ],\n    \""Location\"": [],\n    \""Money\"": [],\n    \""Person\"": [],\n    \""Product\"": [\n      \""NXP Semconductors\""\n    ],\n    \""Quantity\"": []\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,parse_error,AdapterParseError,0.9878391310048755,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,905,0,3,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Bank of America\"",\n      \""Merrill Lynch\""\n    ],\n    \""Date\"": [\n      \""2024\""\n    ],\n    \""Location\"": [\n      \""United States\""\n    ],\n    \""Money\"": [\n      \""$50 Billion\""\n    ],\n    \""Person\"": [],\n    \""Product\"": [],\n    \""Quantity\"": []\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,1.1638415179913864,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,932,0,5,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Broadcom\"",\n      \""Qualcomm\"",\n      \""NXP\""\n    ],\n    \""Date\"": [\n      \""2024\""\n    ],\n    \""Location\"": [\n      \""United States\""\n    ],\n    \""Money\"": [\n      \""$117 billion\""\n    ],\n    \""Product\"": [\n      \""Qualcomm\"",\n      \""NXP\""\n    ],\n    \""Quantity\"": [\n      \""1\""\n    ]\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,0.6477630320005119,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,864,0,3,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""McI\""\n    ],\n    \""Money\"": [\n      \""$22 Billion\""\n    ],\n    \""Product\"": [\n      \""McI\""\n    ]\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,1.283479019999504,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,989,0,8,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Johnson & Johnson\"",\n      \""Guidant\""\n    ],\n    \""Date\"": [],\n    \""Location\"": [],\n    \""Money\"": [\n      \""$21.5 billion\"",\n      \""$24.6 billion\"",\n      \""$72 per share\"",\n      \""$36 in cash\"",\n      \""$36 a share\""\n    ],\n    \""Person\"": [],\n    \""Product\"": [\n      \""Guidant\""\n    ],\n    \""Quantity\"": []\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,parse_error,AdapterParseError,0.9803917859971989,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,906,0,3,0.0,0,"[""```json\n{\n\""entities\"": {\n  \""Company\"": [\n    \""Time Warner\"",\n    \""21st Century Fox\""\n  ],\n  \""Date\"": [\n    \""2024\""\n  ],\n  \""Location\"": [\n    \""United States\""\n  ],\n  \""Money\"": [\n    \""$80B\""\n  ],\n  \""Person\"": [],\n  \""Product\"": [],\n  \""Quantity\"": []\n}\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,0.857387674972415,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,888,0,1,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Japan Banks\""\n    ],\n    \""Date\"": [\n      \""2024\""\n    ],\n    \""Location\"": [\n      \""Tokyo, Japan\""\n    ],\n    \""Money\"": [],\n    \""Person\"": [],\n    \""Product\"": [],\n    \""Quantity\"": []\n  }\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,1.0062831380055286,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,946,0,3,0.0,0,"[""```json\n{\n  \""entities\"": {\n    \""Company\"": [\n      \""Columbia Group\""\n    ],\n    \""Date\"": [\n      \""September 8\""\n    ],\n    \""Location\"": [\n      \""United States\""\n    ],\n    \""Money\"": [\n      null\n    ],\n    \""Person\"": [\n      null\n    ],\n    \""Product\"": [\n      null\n    ],\n    \""Quantity\"": [\n      null\n    ]\n  }\n}\n```""]"
