adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,5.565280608999274,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1725
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,parse_error,AdapterParseError,0.3664825080004448,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,859
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,parse_error,AdapterParseError,0.26821089800068876,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,907
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,parse_error,AdapterParseError,3.8129247229999237,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1715
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,0.8117245650000768,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,987
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,3.8286818599999606,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,1716
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,3.9402388749995225,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,1783
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,parse_error,AdapterParseError,0.7866142350003429,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,978
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,0.22044001199992636,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,857
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,0.42932556199957617,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,944
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0010,parse_error,AdapterParseError,0.772993363999376,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,994
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0011,parse_error,AdapterParseError,0.2580394170008731,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,863
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0012,parse_error,AdapterParseError,3.818408666000323,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Money[1];Person;Product;Quantity,,1739
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0013,parse_error,AdapterParseError,0.4466811789998246,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,895
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0014,parse_error,AdapterParseError,0.6290542470005676,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person[0];Product;Quantity,,967
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0015,parse_error,AdapterParseError,0.23136007199991582,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,856
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0016,parse_error,AdapterParseError,0.4713447439999072,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location[0];Money;Person;Product;Quantity,,968
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0017,parse_error,AdapterParseError,3.7985875399999713,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1714
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0018,parse_error,AdapterParseError,0.6063836479997917,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,932
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0019,parse_error,AdapterParseError,0.7929365729996789,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,1003
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0020,parse_error,AdapterParseError,0.9304414500002167,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1035
