adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,12.390137665999987,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1576
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,6.002661052000008,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1620
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,5.367461576000096,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1489
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,6.406057976999932,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1660
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,5.830474138,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1585
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,6.441050206999989,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1632
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,4.843469499999969,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1435
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,4.376949782999986,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1256
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,0.10481094899989785,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,753
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,8.046312292999914,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1663
chat,ChatAdapter(use_json_adapter_fallback=False),case-0010,parse_error,AdapterParseError,6.798961168000005,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1631
chat,ChatAdapter(use_json_adapter_fallback=False),case-0011,parse_error,AdapterParseError,5.157092403999968,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1474
chat,ChatAdapter(use_json_adapter_fallback=False),case-0012,parse_error,AdapterParseError,6.539660421999997,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1665
chat,ChatAdapter(use_json_adapter_fallback=False),case-0013,parse_error,AdapterParseError,6.433837567999944,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,1644
chat,ChatAdapter(use_json_adapter_fallback=False),case-0014,parse_error,AdapterParseError,5.122544927999911,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1462
chat,ChatAdapter(use_json_adapter_fallback=False),case-0015,parse_error,AdapterParseError,4.8176033409999945,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1423
chat,ChatAdapter(use_json_adapter_fallback=False),case-0016,parse_error,AdapterParseError,5.515869192000082,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name,,1538
chat,ChatAdapter(use_json_adapter_fallback=False),case-0017,parse_error,AdapterParseError,4.680256274000044,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1383
chat,ChatAdapter(use_json_adapter_fallback=False),case-0018,parse_error,AdapterParseError,5.832702005999977,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1553
chat,ChatAdapter(use_json_adapter_fallback=False),case-0019,parse_error,AdapterParseError,5.584312307000005,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1535
chat,ChatAdapter(use_json_adapter_fallback=False),case-0020,parse_error,AdapterParseError,5.232731591000061,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1447
chat,ChatAdapter(use_json_adapter_fallback=False),case-0021,parse_error,AdapterParseError,6.072451886000067,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0],,1603
chat,ChatAdapter(use_json_adapter_fallback=False),case-0022,parse_error,AdapterParseError,5.342085677000114,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name,,1468
chat,ChatAdapter(use_json_adapter_fallback=False),case-0023,parse_error,AdapterParseError,6.15930009900012,1,none,0,15,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1630
