adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,6.109964720999983,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1011
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,1.100514227000076,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1062
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,0.9958597070000224,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,942
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,0.7759609729999966,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,936
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,0.926294776000077,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,980
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,0.6612561020000385,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,883
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,1.0843825669999205,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,992
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,0.8497730589999719,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,962
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,0.6371360279999863,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,898
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,0.8456510980000758,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,941
chat,ChatAdapter(use_json_adapter_fallback=False),case-0010,parse_error,AdapterParseError,1.097356915999967,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1027
chat,ChatAdapter(use_json_adapter_fallback=False),case-0011,parse_error,AdapterParseError,1.0808203750000303,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,980
chat,ChatAdapter(use_json_adapter_fallback=False),case-0012,parse_error,AdapterParseError,0.8632803959999364,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,966
chat,ChatAdapter(use_json_adapter_fallback=False),case-0013,parse_error,AdapterParseError,0.8750028869999369,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,958
chat,ChatAdapter(use_json_adapter_fallback=False),case-0014,parse_error,AdapterParseError,1.0989770130000807,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,961
chat,ChatAdapter(use_json_adapter_fallback=False),case-0015,parse_error,AdapterParseError,0.8198434640000869,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,980
chat,ChatAdapter(use_json_adapter_fallback=False),case-0016,parse_error,AdapterParseError,0.7726312080000071,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name,,1004
chat,ChatAdapter(use_json_adapter_fallback=False),case-0017,parse_error,AdapterParseError,0.665603370000099,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,938
chat,ChatAdapter(use_json_adapter_fallback=False),case-0018,parse_error,AdapterParseError,0.7207098420000193,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,973
chat,ChatAdapter(use_json_adapter_fallback=False),case-0019,parse_error,AdapterParseError,0.6657198289999542,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,963
