adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
json,JSONAdapter(),financial-ner-0000,validation_error,ValidationError,7.997651722980663,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1057,0,2,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Albertsons\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Rite Aid\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""advisory firms\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0001,validation_error,ValidationError,2.0814021669793874,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,1167,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""EU\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Clears\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""merger\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""of\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Essilor\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Luxottica\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""without\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""conditions\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0002,validation_error,ValidationError,1.9702082129660994,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,1198,0,7,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Broadcom\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Qualcomms\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""NXP Semconductors\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""US President Donald Trump\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""US President Donald Trump\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""US President Donald Trump\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""US President Donald Trump\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0003,validation_error,ValidationError,0.6671949480078183,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1023,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Bank of America\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Merrill Lynch\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0004,validation_error,ValidationError,1.8145082330447622,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,1152,0,5,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Broadcom\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Qualcomm\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""offer\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""117 billion\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""new\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""NXP\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""deal\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0005,validation_error,ValidationError,8.407387001963798,1,json_object,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,1859,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""McI\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""British Company\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"":""]"
json,JSONAdapter(),financial-ner-0006,validation_error,ValidationError,6.537828878965229,1,json_object,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,1722,0,8,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Johnson & Johnson\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Guidant\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Boston Scientific\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Guidant\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Boston Scientific\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Unsolicited offer\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""lower price\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""between Johnson & Johnson and Guidant\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Boston Scientific\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""announced\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""an unsolicited offer\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""of $24.6 billion\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""for Guidant\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""an offer of $72 per share\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""of Guidant\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""in cash\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""a fixed number of Boston Scientific shares valued at $36 a share\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""valued at $36 a share\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""a share\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""of Guidant\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""fixed\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""number of Boston Scientific shares\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""valued at $36 a share\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""a share\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""of Boston Scientific\""\n    }\n    ]\n}""]"
json,JSONAdapter(),financial-ner-0007,validation_error,ValidationError,0.6545221250271425,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1027,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Time Warner\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""21st Century Fox\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0008,validation_error,ValidationError,1.085682571050711,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1073,0,1,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""International Business\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Japan Banks\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Merge\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""With Wider Effects\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0009,validation_error,ValidationError,1.6037557019735686,1,json_object,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,1162,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""New Plan is filed by Columbia Group; Merger of Four Sub-sidiaries, Acquisition of Another is Proposed to SEC HEARING SET FOR SEPTEMBER 8. Consolidation to Form a New Corporation is Objective of Utilities Concern\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""NEW PLAN IS FILED BY COLUMBIA GROUP; Merger of Four Subsidiaries, Acquisition of Another is Proposed to SEC HEARING SET FOR SEPT. 8\""\n    },\n    {\n      \""type\"": \""string\"",\n      \""description\"": \""Consolidation to Form a New Corporation is Objective of Utilities Concern\""\n    }\n  ]\n}""]"
