adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,2.4229200379995746,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,880
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,parse_error,AdapterParseError,0.7832627389998379,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,884
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,parse_error,AdapterParseError,0.8312058440005785,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,934
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,parse_error,AdapterParseError,0.9151820569995834,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,905
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,1.0281464030003917,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,932
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,0.5761668249997456,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,864
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,1.06151786800001,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,989
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,parse_error,AdapterParseError,0.8673218859994449,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,906
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,0.7763704349999898,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,888
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,0.8838875299998108,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,946
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0010,parse_error,AdapterParseError,0.8761507870003697,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,907
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0011,parse_error,AdapterParseError,0.7524705180003366,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,888
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0012,parse_error,AdapterParseError,0.6940350150007362,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Money[1];Person;Product;Quantity,,903
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0013,parse_error,AdapterParseError,0.8576163449997694,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,906
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0014,parse_error,AdapterParseError,1.0021385940008258,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person[0];Product;Quantity,,932
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0015,parse_error,AdapterParseError,0.5816228240000783,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,862
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0016,parse_error,AdapterParseError,0.6707420909997381,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location[0];Money;Person;Product;Quantity,,920
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0017,parse_error,AdapterParseError,1.0025301620007667,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,922
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0018,parse_error,AdapterParseError,0.8393376580006588,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,900
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0019,parse_error,AdapterParseError,0.8052281150003182,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,897
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0020,parse_error,AdapterParseError,0.6451987030004602,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,874
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0021,parse_error,AdapterParseError,0.9499177730003794,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money[0];Person;Product;Quantity,,910
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0022,parse_error,AdapterParseError,0.8474374250008623,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,898
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0023,parse_error,AdapterParseError,0.8137740559996018,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,901
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0024,parse_error,AdapterParseError,0.6801724890001424,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,912
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0025,parse_error,AdapterParseError,0.6139451469998676,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money;Person;Product;Quantity[0],,872
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0026,parse_error,AdapterParseError,1.0072365989999525,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,914
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0027,parse_error,AdapterParseError,0.9253388400002223,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,905
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0028,parse_error,AdapterParseError,0.8941364840002279,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,906
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0029,parse_error,AdapterParseError,0.6880426050001915,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location[0];Location[1];Money[0];Person;Product[0];Quantity,,894
json,JSONAdapter(),financial-ner-0000,validation_error,ValidationError,1.127735758000199,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,974
json,JSONAdapter(),financial-ner-0001,validation_error,ValidationError,0.6417007670006569,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,907
json,JSONAdapter(),financial-ner-0002,validation_error,ValidationError,0.7932855550006934,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,968
json,JSONAdapter(),financial-ner-0003,validation_error,ValidationError,0.6802449500000876,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,914
json,JSONAdapter(),financial-ner-0004,validation_error,ValidationError,0.7827613090003069,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,936
json,JSONAdapter(),financial-ner-0005,validation_error,ValidationError,0.6045133069992517,1,json_object,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,905
json,JSONAdapter(),financial-ner-0006,ok,,0.9977861659999689,1,json_object,11,13,0.8462,False,Money[2],Product,Money[5];Product[0],1013
json,JSONAdapter(),financial-ner-0007,validation_error,ValidationError,0.6655443469999227,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,916
json,JSONAdapter(),financial-ner-0008,validation_error,ValidationError,0.6646530689995416,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,908
json,JSONAdapter(),financial-ner-0009,validation_error,ValidationError,0.7265474310006539,1,json_object,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,958
json,JSONAdapter(),financial-ner-0010,validation_error,ValidationError,0.8298428139996759,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,931
json,JSONAdapter(),financial-ner-0011,validation_error,ValidationError,0.64795596499971,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,910
json,JSONAdapter(),financial-ner-0012,validation_error,ValidationError,0.6464198539997597,1,json_object,0,9,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Money[1];Person;Product;Quantity,,932
json,JSONAdapter(),financial-ner-0013,validation_error,ValidationError,0.6549208249998628,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,915
json,JSONAdapter(),financial-ner-0014,validation_error,ValidationError,0.7911522940003124,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person[0];Product;Quantity,,941
json,JSONAdapter(),financial-ner-0015,validation_error,ValidationError,0.6584400149995417,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,913
json,JSONAdapter(),financial-ner-0016,validation_error,ValidationError,0.6618295739999667,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location[0];Money;Person;Product;Quantity,,960
json,JSONAdapter(),financial-ner-0017,validation_error,ValidationError,0.6305261349998545,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,915
json,JSONAdapter(),financial-ner-0018,validation_error,ValidationError,0.616719710000325,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,912
json,JSONAdapter(),financial-ner-0019,validation_error,ValidationError,0.7192178839995904,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,927
json,JSONAdapter(),financial-ner-0020,validation_error,ValidationError,0.6595219640003052,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,920
json,JSONAdapter(),financial-ner-0021,validation_error,ValidationError,0.6534870400000727,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money[0];Person;Product;Quantity,,921
json,JSONAdapter(),financial-ner-0022,validation_error,ValidationError,0.6654022820002865,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,910
json,JSONAdapter(),financial-ner-0023,validation_error,ValidationError,0.6851379379995706,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,922
json,JSONAdapter(),financial-ner-0024,validation_error,ValidationError,0.9030835889998343,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,960
json,JSONAdapter(),financial-ner-0025,validation_error,ValidationError,0.6274961119997897,1,json_object,0,7,0.0,False,,Company[0];Date;Location[0];Money;Person;Product;Quantity[0],,914
json,JSONAdapter(),financial-ner-0026,validation_error,ValidationError,0.7590955710002163,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,930
json,JSONAdapter(),financial-ner-0027,validation_error,ValidationError,0.65255941399937,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,907
json,JSONAdapter(),financial-ner-0028,validation_error,ValidationError,0.6671285339998576,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,920
json,JSONAdapter(),financial-ner-0029,validation_error,ValidationError,0.9696610520004469,1,json_object,0,9,0.0,False,,Company[0];Company[1];Date;Location[0];Location[1];Money[0];Person;Product[0];Quantity,,977
baml,BAMLAdapter(),financial-ner-0000,ok,,1.3771391469999799,1,json_object,6,8,0.75,False,Company[0];Company[1],,,692
baml,BAMLAdapter(),financial-ner-0001,ok,,1.4037039169998025,1,json_object,5,8,0.625,False,Company[0];Company[1];Location[0],,,683
baml,BAMLAdapter(),financial-ner-0002,ok,,0.9201619530003882,1,json_object,2,9,0.2222,False,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0],,,656
baml,BAMLAdapter(),financial-ner-0003,ok,,1.4097410489994218,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,683
baml,BAMLAdapter(),financial-ner-0004,ok,,1.3788416940005845,1,json_object,5,10,0.5,False,Company[0];Company[1];Company[2];Company[3];Money[0],,,694
baml,BAMLAdapter(),financial-ner-0005,ok,,1.3626140520000263,1,json_object,4,7,0.5714,False,Company[0];Location[0];Money[0],,,681
baml,BAMLAdapter(),financial-ner-0006,ok,,2.3771876970004087,1,json_object,5,13,0.3846,False,Company[0];Company[1];Company[2];Money[0];Money[1];Money[2];Money[3];Money[4],,,880
baml,BAMLAdapter(),financial-ner-0007,ok,,1.2821754120004698,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,688
baml,BAMLAdapter(),financial-ner-0008,ok,,0.7159317790001296,1,json_object,6,7,0.8571,False,Location[0],,,602
baml,BAMLAdapter(),financial-ner-0009,ok,,0.7535970059998363,1,json_object,4,7,0.5714,False,Company[0];Date[0];Quantity[0],,,642
baml,BAMLAdapter(),financial-ner-0010,ok,,0.9101397109998288,1,json_object,6,9,0.6667,False,Company[0];Company[1];Company[2],,,613
baml,BAMLAdapter(),financial-ner-0011,ok,,1.284825300999728,1,json_object,6,8,0.75,False,Company[0];Company[1],,,676
baml,BAMLAdapter(),financial-ner-0012,ok,,1.391256255999906,1,json_object,5,9,0.5556,False,Company[0];Company[1];Money[0];Money[1],,,711
baml,BAMLAdapter(),financial-ner-0013,ok,,1.2430348190000586,1,json_object,5,8,0.625,False,Company[0];Company[1];Date[0],,,672
baml,BAMLAdapter(),financial-ner-0014,ok,,1.3562886480003726,1,json_object,4,8,0.5,False,Company[0];Company[1];Money[0];Person[0],,,698
baml,BAMLAdapter(),financial-ner-0015,ok,,1.3677093489995968,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,686
baml,BAMLAdapter(),financial-ner-0016,ok,,0.8617315539995616,1,json_object,5,10,0.5,False,Company[0];Company[1];Company[2];Company[3];Location[0],,,665
baml,BAMLAdapter(),financial-ner-0017,ok,,1.3318329590001667,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,692
baml,BAMLAdapter(),financial-ner-0018,ok,,1.2623614869999074,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,682
baml,BAMLAdapter(),financial-ner-0019,ok,,1.37069559199972,1,json_object,5,8,0.625,False,Company[0];Company[1];Date[0],,,694
baml,BAMLAdapter(),financial-ner-0020,ok,,0.6972688799996831,1,json_object,6,7,0.8571,False,Location[0],,,607
baml,BAMLAdapter(),financial-ner-0021,ok,,1.3002031199994235,1,json_object,4,8,0.5,False,Company[0];Company[1];Location[0];Money[0],,,688
baml,BAMLAdapter(),financial-ner-0022,ok,,1.4194979280000553,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,683
baml,BAMLAdapter(),financial-ner-0023,ok,,0.7975574750007581,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,619
baml,BAMLAdapter(),financial-ner-0024,ok,,0.8945907399993303,1,json_object,5,8,0.625,False,Company[0];Company[1];Money[0],,,651
baml,BAMLAdapter(),financial-ner-0025,ok,,0.7530906570000298,1,json_object,4,7,0.5714,False,Company[0];Location[0];Quantity[0],,,608
baml,BAMLAdapter(),financial-ner-0026,validation_error,ValidationError,1.385142626000743,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,697
baml,BAMLAdapter(),financial-ner-0027,ok,,1.136627013999714,1,json_object,6,8,0.75,False,Company[0];Company[1],,,660
baml,BAMLAdapter(),financial-ner-0028,ok,,1.0953124540001227,1,json_object,6,9,0.6667,False,Company[0];Company[1];Company[2],,,670
baml,BAMLAdapter(),financial-ner-0029,ok,,0.7607972549994884,1,json_object,3,9,0.3333,False,Company[0];Company[1];Location[0];Location[1];Money[0];Product[0],,,631
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0000,validation_error,ValidationError,1.0447609169996213,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,909
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0001,validation_error,ValidationError,0.6263015739996263,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,848
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0002,validation_error,ValidationError,0.6676389699996435,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,891
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0003,validation_error,ValidationError,1.0591992490008124,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,902
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0004,validation_error,ValidationError,0.7041900889998942,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,860
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0005,ok,,0.5150756820003153,1,json_object,5,7,0.7143,False,Company[0];Location[0],,Company[1],832
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0006,ok,,1.3441065240003809,1,json_object,10,13,0.7692,False,Money[2],Product;Quantity,Money[5];Product[0];Quantity[0];Quantity[1];Quantity[2];Quantity[3];Quantity[4],999
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0007,validation_error,ValidationError,0.6544116300001406,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,851
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0008,validation_error,ValidationError,0.6660645709998789,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,843
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0009,ok,,0.7310536639997736,1,json_object,3,7,0.4286,False,Company[0];Date[0];Quantity[0],Location,Company[1];Date[1];Location[0],899
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0010,validation_error,ValidationError,1.1141101960001834,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,912
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0011,validation_error,ValidationError,0.6484278379994066,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,850
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0012,validation_error,ValidationError,0.6162453229999301,1,json_object,0,9,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Money[1];Person;Product;Quantity,,867
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0013,validation_error,ValidationError,1.1034811630006516,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,911
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0014,ok,,1.0360081260005245,1,json_object,5,8,0.625,False,,Date;Location;Product,Date[0];Location[0];Person[1];Product[0],909
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0015,ok,,0.582483893999779,1,json_object,4,8,0.5,False,Company[0];Money[0],Product;Quantity,Product[0];Quantity[0],838
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0016,validation_error,ValidationError,0.6981050059994232,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location[0];Money;Person;Product;Quantity,,895
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0017,ok,,0.818691898999532,1,json_object,5,8,0.625,False,,Date;Location;Product,Date[0];Location[0];Product[0],879
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0018,ok,,0.5489637000000585,1,json_object,6,8,0.75,False,Company[0],Location,Location[0],841
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0019,validation_error,ValidationError,0.6548688100001527,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,862
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0020,validation_error,ValidationError,0.6179895770001167,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,855
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0021,ok,,0.5921828999998979,1,json_object,8,8,1.0,True,,,,852
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0022,validation_error,ValidationError,0.5787110589999429,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,840
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0023,ok,,0.6508743759995923,1,json_object,7,8,0.875,False,Money[0],,,859
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0024,validation_error,ValidationError,0.937279428999318,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,928
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0025,validation_error,ValidationError,0.6133394879998377,1,json_object,0,7,0.0,False,,Company[0];Date;Location[0];Money;Person;Product;Quantity[0],,849
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0026,validation_error,ValidationError,0.7614006220001102,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,870
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0027,validation_error,ValidationError,0.6570027379993917,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,840
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0028,validation_error,ValidationError,0.6997076349998679,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,855
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",financial-ner-0029,validation_error,ValidationError,0.9489295939993099,1,json_object,0,9,0.0,False,,Company[0];Company[1];Date;Location[0];Location[1];Money[0];Person;Product[0];Quantity,,913
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0000,validation_error,ValidationError,0.382009005999862,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,593
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0001,ok,,0.5839642749997438,1,json_object,7,8,0.875,False,Location[0],,,617
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0002,ok,,0.5290932360003353,1,json_object,2,9,0.2222,False,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0],,,647
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0003,ok,,0.7237611210002797,1,json_object,8,8,1.0,True,,,,635
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0004,ok,,0.7099830770002882,1,json_object,5,10,0.5,False,Company[0];Company[1];Company[2];Company[3];Money[0],,,643
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0005,ok,,0.4926185689992053,1,json_object,5,7,0.7143,False,Company[0];Location[0],,Company[1],605
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0006,ok,,0.4823954639996373,1,json_object,5,13,0.3846,False,Company[0];Company[1];Company[2];Money[0];Money[1];Money[2];Money[3];Money[4],,,661
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0007,ok,,0.5102627109999958,1,json_object,8,8,1.0,True,,,,614
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",financial-ner-0008,parse_error,AdapterParseError,6.6236957689998235,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1458
