adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0000,parse_error,AdapterParseError,7.92539328699786,1,none,0,19,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2791
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0001,parse_error,AdapterParseError,4.913921113999095,1,none,0,19,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2875
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0002,parse_error,AdapterParseError,4.831798592000268,1,none,0,21,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization[0].occurrenceDate;immunization[0].status;immunization[0].traits[0];maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2817
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0003,parse_error,AdapterParseError,4.862351886000397,1,none,0,19,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,3111
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0004,parse_error,AdapterParseError,4.9085831829979725,1,none,0,18,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.prefix;phone;practitioner;primaryLanguage,,3002
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0005,parse_error,AdapterParseError,4.843852538000647,1,none,0,17,0.0,False,,address;age;allergy.substance[0].category;allergy.substance[0].manifestation;allergy.substance[0].name;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2812
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0006,parse_error,AdapterParseError,4.820463733998622,1,none,0,19,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2796
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0007,parse_error,AdapterParseError,4.844118608998542,1,none,0,24,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2890
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0008,parse_error,AdapterParseError,4.892797759999667,1,none,0,20,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2908
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0009,parse_error,AdapterParseError,4.921481146000588,1,none,0,24,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2848
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0010,parse_error,AdapterParseError,4.894410846998653,1,none,0,15,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2898
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0011,parse_error,AdapterParseError,2.6600939859999926,1,none,0,14,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.prefix;phone;practitioner;primaryLanguage,,2318
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0012,parse_error,AdapterParseError,1.8778274299984332,1,none,0,26,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization[0].occurrenceDate;immunization[0].status;immunization[0].traits[0];maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2280
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0013,parse_error,AdapterParseError,4.957973057997151,1,none,0,23,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.prefix;phone;practitioner[0].address.city;practitioner[0].address.country;practitioner[0].address.line;practitioner[0].address.postalCode;practitioner[0].address.state;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,3103
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0014,parse_error,AdapterParseError,4.944536890998279,1,none,0,22,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name;practitioner[0].phone;primaryLanguage,,2844
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0015,parse_error,AdapterParseError,4.888318345001608,1,none,0,17,0.0,False,,address;age;allergy;birthDate;email;gender;immunization[0].occurrenceDate;immunization[0].status;immunization[0].traits[0];maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2775
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0016,parse_error,AdapterParseError,4.917427987998963,1,none,0,20,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2782
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0017,parse_error,AdapterParseError,4.905545482000889,1,none,0,15,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2725
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0018,parse_error,AdapterParseError,4.9521688429995265,1,none,0,15,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2828
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0019,parse_error,AdapterParseError,5.040249067998957,1,none,0,28,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address.city;practitioner[0].address.country;practitioner[0].address.line;practitioner[0].address.postalCode;practitioner[0].address.state;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2854
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0020,parse_error,AdapterParseError,4.977931772999,1,none,0,19,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2771
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0021,parse_error,AdapterParseError,4.962354685998434,1,none,0,19,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2777
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0022,parse_error,AdapterParseError,5.032576525998593,1,none,0,22,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address;practitioner[0].email;practitioner[0].name;practitioner[0].phone;primaryLanguage,,2904
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0023,parse_error,AdapterParseError,5.081569391997618,1,none,0,24,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address.city;practitioner[0].address.country;practitioner[0].address.line;practitioner[0].address.postalCode;practitioner[0].address.state;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,3021
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0024,parse_error,AdapterParseError,5.052858933999232,1,none,0,28,0.0,False,,address.city;address.country;address.line;address.postalCode;address.state;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner[0].address.city;practitioner[0].address.country;practitioner[0].address.line;practitioner[0].address.postalCode;practitioner[0].address.state;practitioner[0].email;practitioner[0].name.family;practitioner[0].name.given[0];practitioner[0].name.prefix;practitioner[0].phone;primaryLanguage,,2905
chat,ChatAdapter(use_json_adapter_fallback=False),patient-notes-0025,parse_error,AdapterParseError,4.99281608399906,1,none,0,15,0.0,False,,address;age;allergy;birthDate;email;gender;immunization;maritalStatus;name.family;name.given[0];name.given[1];name.prefix;phone;practitioner;primaryLanguage,,2816
