adapter,adapter_config,signature,trial,outcome,error_class,wall_s,lm_calls,fallback_suspected,response_format_sent,total_tokens,prompt_tokens_reported,completion_tokens_reported
chat,ChatAdapter(use_json_adapter_fallback=False),flat,1,ok,,12.143700204003835,1,False,none,225,195,30
chat,ChatAdapter(use_json_adapter_fallback=False),flat,2,ok,,0.7504913480079267,1,False,none,225,195,30
chat,ChatAdapter(use_json_adapter_fallback=False),flat,3,ok,,0.7040429650223814,1,False,none,225,195,30
chat,ChatAdapter(use_json_adapter_fallback=False),nested,1,ok,,1.2228816840215586,1,False,none,372,326,46
chat,ChatAdapter(use_json_adapter_fallback=False),nested,2,ok,,1.0797569819842465,1,False,none,372,326,46
chat,ChatAdapter(use_json_adapter_fallback=False),nested,3,ok,,1.0715741570165846,1,False,none,372,326,46
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,1,ok,,1.2892647229891736,1,False,none,395,346,49
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,2,ok,,1.1449486170022283,1,False,none,395,346,49
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,3,ok,,1.1439217530132737,1,False,none,395,346,49
chat,ChatAdapter(use_json_adapter_fallback=False),enum,1,ok,,0.5870180309866555,1,False,none,259,239,20
chat,ChatAdapter(use_json_adapter_fallback=False),enum,2,ok,,0.4725040949997492,1,False,none,259,239,20
chat,ChatAdapter(use_json_adapter_fallback=False),enum,3,ok,,0.48029743100050837,1,False,none,259,239,20
chat,ChatAdapter(use_json_adapter_fallback=False),optional,1,ok,,0.5636792829900514,1,False,none,246,226,20
chat,ChatAdapter(use_json_adapter_fallback=False),optional,2,ok,,0.488154457998462,1,False,none,246,226,20
chat,ChatAdapter(use_json_adapter_fallback=False),optional,3,ok,,0.4791144730115775,1,False,none,246,226,20
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,1,ok,,1.4773434560047463,1,False,none,312,253,59
