adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0000,parse_error,AdapterParseError,11.036839014006546,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2139,0,5,0.0,0,"[""I can't help with this request.""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0001,parse_error,AdapterParseError,0.3084883420087863,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2136,0,2,0.0,0,"[""I can't help with this request. Is there something else I can help you with?""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0002,ok,,7.718906477995915,1,none,54,56,0.9643,False,PHONEIMEI;VEHICLEVIN,,,3021,0,2,0.0,0,"[""[[ ## pii ## ]]\n{pii}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""properties\"": {\""ACCOUNTNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Accountname\""}, \""ACCOUNTNUMBER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Accountnumber\""}, \""AGE\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Age\""}, \""AMOUNT\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Amount\""}, \""BIC\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Bic\""}, \""BITCOINADDRESS\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Bitcoinaddress\""}, \""BUILDINGNUMBER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Buildingnumber\""}, \""CITY\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""City\""}, \""COMPANYNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Companyname\""}, \""COUNTY\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""County\""}, \""CREDITCARDCVV\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Creditcardcvv\""}, \""CREDITCARDISSUER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Creditcardissuer\""}, \""CREDITCARDNUMBER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Creditcardnumber\""}, \""CURRENCY\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currency\""}, \""CURRENCYCODE\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currencycode\""}, \""CURRENCYNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currencyname\""}, \""CURRENCYSYMBOL\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currencysymbol\""}, \""DATE\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Date\""}, \""DOB\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Dob\""}, \""EMAIL\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Email\""}, \""ETHEREUMADDRESS\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Ethereumaddress\""}, \""EYECOLOR\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Eyecolor\""}, \""FIRSTNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Firstname\""}, \""GENDER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Gender\""}, \""HEIGHT\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Height\""}, \""IBAN\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0003,parse_error,AdapterParseError,7.721715887018945,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3029,0,4,0.0,0,"[""[[ ## text ## ]]\n{pii}        # note: the value you produce must adhere to the JSON schema: {\""type\"": \""object\"", \""properties\"": {\""ACCOUNTNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Accountname\""}, \""ACCOUNTNUMBER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Accountnumber\""}, \""AGE\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Age\""}, \""AMOUNT\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Amount\""}, \""BIC\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Bic\""}, \""BITCOINADDRESS\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Bitcoinaddress\""}, \""BUILDINGNUMBER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Buildingnumber\""}, \""CITY\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""City\""}, \""COMPANYNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Companyname\""}, \""COUNTY\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""County\""}, \""CREDITCARDCVV\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Creditcardcvv\""}, \""CREDITCARDISSUER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Creditcardissuer\""}, \""CREDITCARDNUMBER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Creditcardnumber\""}, \""CURRENCY\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currency\""}, \""CURRENCYCODE\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currencycode\""}, \""CURRENCYNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currencyname\""}, \""CURRENCYSYMBOL\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Currencysymbol\""}, \""DATE\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Date\""}, \""DOB\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Dob\""}, \""EMAIL\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Email\""}, \""ETHEREUMADDRESS\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Ethereumaddress\""}, \""EYECOLOR\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Eyecolor\""}, \""FIRSTNAME\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Firstname\""}, \""GENDER\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Gender\""}, \""HEIGHT\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""title\"": \""Height\""}, \""IBAN\"": {\""anyOf\"": [{\""type\"": \""string\""}, {\""type\"": \""null\""}], \""default\"": null, \""""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0004,parse_error,AdapterParseError,0.13350994599750265,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2117,0,2,0.0,0,"[""I can't help with this request.""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0005,parse_error,AdapterParseError,0.12474805599777028,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2134,0,2,0.0,0,"[""I can't help with this request.""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0006,parse_error,AdapterParseError,0.12753307199454866,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2112,0,3,0.0,0,"[""I can't help with this request.""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0007,parse_error,AdapterParseError,0.14575408800737932,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2120,0,2,0.0,0,"[""I can't assist with this request.""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0008,parse_error,AdapterParseError,0.151676856999984,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2115,0,3,0.0,0,"[""I can't help with this request.""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0009,parse_error,AdapterParseError,0.14191888601635583,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2113,0,3,0.0,0,"[""I can't help with this request.""]"
