adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0000,parse_error,AdapterParseError,10.828406626998913,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2676,0,5,0.0,0,"[""```json\n{\n  \""pii\"": {\n    \""ACCOUNTNAME\"": null,\n    \""ACCOUNTNUMBER\"": null,\n    \""AGE\"": null,\n    \""AMOUNT\"": \""964480\"",\n    \""BIC\"": null,\n    \""BITCOINADDRESS\"": null,\n    \""BUILDINGNUMBER\"": null,\n    \""CITY\"": null,\n    \""COMPANYNAME\"": null,\n    \""COUNTY\"": null,\n    \""CREDITCARDCVV\"": null,\n    \""CREDITCARDISSUER\"": null,\n    \""CREDITCARDNUMBER\"": \""73-675301-103047-0\"",\n    \""CURRENCY\"": null,\n    \""CURRENCYCODE\"": null,\n    \""CURRENCYNAME\"": null,\n    \""CURRENCYSYMBOL\"": null,\n    \""DATE\"": null,\n    \""DOB\"": null,\n    \""EMAIL\"": null,\n    \""ETHEREUMADDRESS\"": null,\n    \""EYECOLOR\"": null,\n    \""FIRSTNAME\"": null,\n    \""GENDER\"": null,\n    \""HEIGHT\"": null,\n    \""IBAN\"": null,\n    \""IP\"": null,\n    \""IPV4\"": null,\n    \""IPV6\"": null,\n    \""JOBAREA\"": null,\n    \""JOBTITLE\"": null,\n    \""JOBTYPE\"": null,\n    \""LASTNAME\"": null,\n    \""LITECOINADDRESS\"": null,\n    \""MAC\"": null,\n    \""MASKEDNUMBER\"": null,\n    \""MIDDLENAME\"": null,\n    \""NEARBYGPSCOORDINATE\"": null,\n    \""ORDINALDIRECTION\"": null,\n    \""PASSWORD\"": null,\n    \""PHONEIMEI\"": null,\n    \""PHONENUMBER\"": null,\n    \""PIN\"": null,\n    \""PREFIX\"": null,\n    \""SECONDARYADDRESS\"": null,\n    \""SEX\"": null,\n    \""SSN\"": null,\n    \""STATE\"": null,\n    \""STREET\"": null,\n    \""TIME\"": null,\n    \""URL\"": null,\n    \""USERAGENT\"": null,\n    \""USERNAME\"": null,\n    \""VEHICLEVIN\"": null,\n    \""VEHICLEVRM\"": null,\n    \""ZIPCODE\"": null\n  },\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0001,parse_error,AdapterParseError,4.00427104398841,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2647,0,2,0.0,0,"[""```json\n{\n  \""pii\"": {\n    \""ACCOUNTNAME\"": null,\n    \""ACCOUNTNUMBER\"": null,\n    \""AGE\"": null,\n    \""AMOUNT\"": null,\n    \""BIC\"": null,\n    \""BITCOINADDRESS\"": null,\n    \""BUILDINGNUMBER\"": null,\n    \""CITY\"": null,\n    \""COMPANYNAME\"": null,\n    \""COUNTY\"": null,\n    \""CREDITCARDCVV\"": null,\n    \""CREDITCARDISSUER\"": null,\n    \""CREDITCARDNUMBER\"": null,\n    \""CURRENCY\"": null,\n    \""CURRENCYCODE\"": null,\n    \""CURRENCYNAME\"": null,\n    \""CURRENCYSYMBOL\"": null,\n    \""DATE\"": null,\n    \""DOB\"": null,\n    \""EMAIL\"": null,\n    \""ETHEREUMADDRESS\"": null,\n    \""EYECOLOR\"": null,\n    \""FIRSTNAME\"": null,\n    \""GENDER\"": null,\n    \""HEIGHT\"": null,\n    \""IBAN\"": null,\n    \""IP\"": null,\n    \""IPV4\"": null,\n    \""IPV6\"": null,\n    \""JOBAREA\"": null,\n    \""JOBTITLE\"": null,\n    \""JOBTYPE\"": null,\n    \""LASTNAME\"": null,\n    \""LITECOINADDRESS\"": null,\n    \""MAC\"": null,\n    \""MASKEDNUMBER\"": null,\n    \""MIDDLENAME\"": null,\n    \""NEARBYGPSCOORDINATE\"": null,\n    \""ORDINALDIRECTION\"": null,\n    \""PASSWORD\"": null,\n    \""PHONEIMEI\"": null,\n    \""PHONENUMBER\"": null,\n    \""PIN\"": null,\n    \""PREFIX\"": null,\n    \""SECONDARYADDRESS\"": null,\n    \""SEX\"": null,\n    \""SSN\"": \""433 47 8265\"",\n    \""STATE\"": null,\n    \""STREET\"": null,\n    \""TIME\"": null,\n    \""URL\"": null,\n    \""USERAGENT\"": null,\n    \""USERNAME\"": null,\n    \""VEHICLEVIN\"": null,\n    \""VEHICLEVRM\"": null,\n    \""ZIPCODE\"": null\n  },\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0002,parse_error,AdapterParseError,3.9834030529891606,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2664,0,2,0.0,0,"[""```json\n{\n  \""pii\"": {\n    \""ACCOUNTNAME\"": null,\n    \""ACCOUNTNUMBER\"": \""83-391083-420532-3\"",\n    \""AGE\"": null,\n    \""AMOUNT\"": null,\n    \""BIC\"": null,\n    \""BITCOINADDRESS\"": null,\n    \""BUILDINGNUMBER\"": null,\n    \""CITY\"": null,\n    \""COMPANYNAME\"": \""ICU team\"",\n    \""COUNTY\"": null,\n    \""CREDITCARDCVV\"": null,\n    \""CREDITCARDISSUER\"": null,\n    \""CREDITCARDNUMBER\"": null,\n    \""CURRENCY\"": null,\n    \""CURRENCYCODE\"": null,\n    \""CURRENCYNAME\"": null,\n    \""CURRENCYSYMBOL\"": null,\n    \""DATE\"": null,\n    \""DOB\"": null,\n    \""EMAIL\"": null,\n    \""ETHEREUMADDRESS\"": null,\n    \""EYECOLOR\"": null,\n    \""FIRSTNAME\"": null,\n    \""GENDER\"": null,\n    \""HEIGHT\"": null,\n    \""IBAN\"": null,\n    \""IP\"": null,\n    \""IPV4\"": null,\n    \""IPV6\"": null,\n    \""JOBAREA\"": null,\n    \""JOBTITLE\"": null,\n    \""JOBTYPE\"": null,\n    \""LASTNAME\"": null,\n    \""LITECOINADDRESS\"": null,\n    \""MAC\"": null,\n    \""MASKEDNUMBER\"": null,\n    \""MIDDLENAME\"": null,\n    \""NEARBYGPSCOORDINATE\"": null,\n    \""ORDINALDIRECTION\"": null,\n    \""PASSWORD\"": null,\n    \""PHONEIMEI\"": null,\n    \""PHONENUMBER\"": null,\n    \""PIN\"": null,\n    \""PREFIX\"": null,\n    \""SECONDARYADDRESS\"": null,\n    \""SEX\"": null,\n    \""SSN\"": null,\n    \""STATE\"": null,\n    \""STREET\"": null,\n    \""TIME\"": null,\n    \""URL\"": null,\n    \""USERAGENT\"": null,\n    \""USERNAME\"": null,\n    \""VEHICLEVIN\"": null,\n    \""VEHICLEVRM\"": null,\n    \""ZIPCODE\"": null\n  },\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0003,parse_error,AdapterParseError,2.1661391209927388,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2420,0,4,0.0,0,"[""```json\n{\n  \""pii\"": [\n    {\n      \""ACCOUNTNUMBER\"": \""3534282572218237\"",\n      \""CREDITCARDNUMBER\"": \""3534282572218237\""\n    },\n    {\n      \""BIC\"": \""BKSM0000000000000000\"",\n      \""CURRENCYCODE\"": \""ISK\"",\n      \""CREDITCARDISSUER\"": \""Halvorson Inc\"",\n      \""CITY\"": \""Bangkok\"",\n      \""DATE\"": \""2024-12-15\"",\n      \""EMAIL\"": \""\"",\n      \""FIRSTNAME\"": \""\"",\n      \""LASTNAME\"": \""Halvorson\"",\n      \""MIDDLENAME\"": \""\"",\n      \""PASSWORD\"": \""\"",\n      \""PHONEIMEI\"": \""\"",\n      \""PHONENUMBER\"": \""\"",\n      \""PIN\"": \""\"",\n      \""PREFIX\"": \""\"",\n      \""SECONDARYADDRESS\"": \""\"",\n      \""SEX\"": \""\"",\n      \""STATE\"": \""\"",\n      \""STREET\"": \""\"",\n      \""TIME\"": \""\"",\n      \""USERNAME\"": \""\"",\n      \""USERAGENT\"": \""\""\n    }\n  ]\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0004,parse_error,AdapterParseError,3.9555403480189852,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2642,0,2,0.0,0,"[""```json\n{\n  \""pii\"": [\n    {\n      \""ACCOUNTNAME\"": null,\n      \""ACCOUNTNUMBER\"": null,\n      \""AGE\"": null,\n      \""AMOUNT\"": null,\n      \""BIC\"": null,\n      \""BITCOINADDRESS\"": null,\n      \""BUILDINGNUMBER\"": null,\n      \""CITY\"": null,\n      \""COMPANYNAME\"": null,\n      \""COUNTY\"": null,\n      \""CREDITCARDCVV\"": null,\n      \""CREDITCARDISSUER\"": null,\n      \""CREDITCARDNUMBER\"": null,\n      \""CURRENCY\"": null,\n      \""CURRENCYCODE\"": null,\n      \""CURRENCYNAME\"": null,\n      \""CURRENCYSYMBOL\"": null,\n      \""DATE\"": null,\n      \""DOB\"": null,\n      \""EMAIL\"": null,\n      \""ETHEREUMADDRESS\"": null,\n      \""EYECOLOR\"": null,\n      \""FIRSTNAME\"": null,\n      \""GENDER\"": null,\n      \""HEIGHT\"": null,\n      \""IBAN\"": null,\n      \""IP\"": null,\n      \""IPV4\"": null,\n      \""IPV6\"": null,\n      \""JOBAREA\"": null,\n      \""JOBTITLE\"": null,\n      \""JOBTYPE\"": null,\n      \""LASTNAME\"": null,\n      \""LITECOINADDRESS\"": null,\n      \""MAC\"": null,\n      \""MASKEDNUMBER\"": null,\n      \""MIDDLENAME\"": null,\n      \""NEARBYGPSCOORDINATE\"": null,\n      \""ORDINALDIRECTION\"": null,\n      \""PASSWORD\"": null,\n      \""PHONEIMEI\"": null,\n      \""PHONENUMBER\"": null,\n      \""PIN\"": null,\n      \""PREFIX\"": null,\n      \""SECONDARYADDRESS\"": null,\n      \""SEX\"": null,\n      \""SSN\"": null,\n      \""STATE\"": null,\n      \""STREET\"": null,\n      \""TIME\"": null,\n      \""URL\"": null,\n      \""USERAGENT\"": null,\n      \""USERNAME\"": null,\n      \""VEHICLEVIN\"": \""05BHMWB78RK026069\"",\n      \""VEHICLEVRM\"": null,\n      \""ZIPCODE\"": null\n    }\n  ],\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0005,parse_error,AdapterParseError,4.396446927974466,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2710,0,2,0.0,0,"[""```json\n{\n  \""pii\"": {\n    \""ACCOUNTNAME\"": null,\n    \""ACCOUNTNUMBER\"": null,\n    \""AGE\"": null,\n    \""AMOUNT\"": null,\n    \""BIC\"": null,\n    \""BITCOINADDRESS\"": \""eae3:e28d:8b88:6238:ac3d:30b9:eeea:cf79\"",\n    \""BUILDINGNUMBER\"": null,\n    \""CITY\"": null,\n    \""COMPANYNAME\"": null,\n    \""COUNTY\"": null,\n    \""CREDITCARDCVV\"": null,\n    \""CREDITCARDISSUER\"": null,\n    \""CREDITCARDNUMBER\"": null,\n    \""CURRENCY\"": null,\n    \""CURRENCYCODE\"": null,\n    \""CURRENCYNAME\"": null,\n    \""CURRENCYSYMBOL\"": null,\n    \""DATE\"": null,\n    \""DOB\"": null,\n    \""EMAIL\"": null,\n    \""ETHEREUMADDRESS\"": null,\n    \""EYECOLOR\"": null,\n    \""FIRSTNAME\"": null,\n    \""GENDER\"": null,\n    \""HEIGHT\"": null,\n    \""IBAN\"": null,\n    \""IP\"": null,\n    \""IPV4\"": null,\n    \""IPV6\"": \""ff82:0000:0000:0000:0000:0000:0000:0000\"",\n    \""JOBAREA\"": null,\n    \""JOBTITLE\"": null,\n    \""JOBTYPE\"": null,\n    \""LASTNAME\"": null,\n    \""LITECOINADDRESS\"": null,\n    \""MAC\"": null,\n    \""MASKEDNUMBER\"": null,\n    \""MIDDLENAME\"": null,\n    \""NEARBYGPSCOORDINATE\"": null,\n    \""ORDINALDIRECTION\"": null,\n    \""PASSWORD\"": null,\n    \""PHONEIMEI\"": null,\n    \""PHONENUMBER\"": null,\n    \""PIN\"": null,\n    \""PREFIX\"": null,\n    \""SECONDARYADDRESS\"": null,\n    \""SEX\"": null,\n    \""SSN\"": null,\n    \""STATE\"": null,\n    \""STREET\"": null,\n    \""TIME\"": null,\n    \""URL\"": null,\n    \""USERAGENT\"": null,\n    \""USERNAME\"": null,\n    \""VEHICLEVIN\"": null,\n    \""VEHICLEVRM\"": null,\n    \""ZIPCODE\"": null\n  },\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0006,parse_error,AdapterParseError,0.290152824978577,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2133,0,3,0.0,0,"[""```json\n{\n  \""pii\"": \""Lon Kihn\"",\n  \""completed\"": \""\""\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0007,parse_error,AdapterParseError,4.108413237001514,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2672,0,2,0.0,0,"[""```json\n{\n  \""pii\"": {\n    \""ACCOUNTNAME\"": null,\n    \""ACCOUNTNUMBER\"": \""2061261018983115\"",\n    \""AGE\"": null,\n    \""AMOUNT\"": null,\n    \""BIC\"": null,\n    \""BITCOINADDRESS\"": null,\n    \""BUILDINGNUMBER\"": null,\n    \""CITY\"": null,\n    \""COMPANYNAME\"": null,\n    \""COUNTY\"": null,\n    \""CREDITCARDCVV\"": null,\n    \""CREDITCARDISSUER\"": null,\n    \""CREDITCARDNUMBER\"": \""FI0407396643360644\"",\n    \""CURRENCY\"": null,\n    \""CURRENCYCODE\"": null,\n    \""CURRENCYNAME\"": null,\n    \""CURRENCYSYMBOL\"": null,\n    \""DATE\"": null,\n    \""DOB\"": null,\n    \""EMAIL\"": null,\n    \""ETHEREUMADDRESS\"": null,\n    \""EYECOLOR\"": null,\n    \""FIRSTNAME\"": null,\n    \""GENDER\"": null,\n    \""HEIGHT\"": null,\n    \""IBAN\"": null,\n    \""IP\"": null,\n    \""IPV4\"": null,\n    \""IPV6\"": null,\n    \""JOBAREA\"": null,\n    \""JOBTITLE\"": null,\n    \""JOBTYPE\"": null,\n    \""LASTNAME\"": null,\n    \""LITECOINADDRESS\"": null,\n    \""MAC\"": null,\n    \""MASKEDNUMBER\"": null,\n    \""MIDDLENAME\"": null,\n    \""NEARBYGPSCOORDINATE\"": null,\n    \""ORDINALDIRECTION\"": null,\n    \""PASSWORD\"": null,\n    \""PHONEIMEI\"": null,\n    \""PHONENUMBER\"": null,\n    \""PIN\"": null,\n    \""PREFIX\"": null,\n    \""SECONDARYADDRESS\"": null,\n    \""SEX\"": null,\n    \""SSN\"": null,\n    \""STATE\"": null,\n    \""STREET\"": null,\n    \""TIME\"": null,\n    \""URL\"": null,\n    \""USERAGENT\"": null,\n    \""USERNAME\"": null,\n    \""VEHICLEVIN\"": null,\n    \""VEHICLEVRM\"": null,\n    \""ZIPCODE\"": null\n  },\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0008,parse_error,AdapterParseError,3.9353468879999127,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2627,0,3,0.0,0,"[""```json\n{\n  \""pii\"": {\n    \""ACCOUNTNAME\"": null,\n    \""ACCOUNTNUMBER\"": null,\n    \""AGE\"": null,\n    \""AMOUNT\"": \""549831.16\"",\n    \""BIC\"": null,\n    \""BITCOINADDRESS\"": null,\n    \""BUILDINGNUMBER\"": null,\n    \""CITY\"": null,\n    \""COMPANYNAME\"": null,\n    \""COUNTY\"": null,\n    \""CREDITCARDCVV\"": null,\n    \""CREDITCARDISSUER\"": null,\n    \""CREDITCARDNUMBER\"": null,\n    \""CURRENCY\"": null,\n    \""CURRENCYCODE\"": null,\n    \""CURRENCYNAME\"": null,\n    \""CURRENCYSYMBOL\"": null,\n    \""DATE\"": null,\n    \""DOB\"": null,\n    \""EMAIL\"": null,\n    \""ETHEREUMADDRESS\"": null,\n    \""EYECOLOR\"": null,\n    \""FIRSTNAME\"": null,\n    \""GENDER\"": null,\n    \""HEIGHT\"": null,\n    \""IBAN\"": null,\n    \""IP\"": null,\n    \""IPV4\"": null,\n    \""IPV6\"": null,\n    \""JOBAREA\"": null,\n    \""JOBTITLE\"": null,\n    \""JOBTYPE\"": null,\n    \""LASTNAME\"": null,\n    \""LITECOINADDRESS\"": null,\n    \""MAC\"": null,\n    \""MASKEDNUMBER\"": null,\n    \""MIDDLENAME\"": null,\n    \""NEARBYGPSCOORDINATE\"": null,\n    \""ORDINALDIRECTION\"": null,\n    \""PASSWORD\"": null,\n    \""PHONEIMEI\"": null,\n    \""PHONENUMBER\"": null,\n    \""PIN\"": null,\n    \""PREFIX\"": null,\n    \""SECONDARYADDRESS\"": null,\n    \""SEX\"": null,\n    \""SSN\"": null,\n    \""STATE\"": null,\n    \""STREET\"": null,\n    \""TIME\"": null,\n    \""URL\"": null,\n    \""USERAGENT\"": null,\n    \""USERNAME\"": null,\n    \""VEHICLEVIN\"": null,\n    \""VEHICLEVRM\"": null,\n    \""ZIPCODE\"": null\n  },\n  \""completed\"": true\n}\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0009,parse_error,AdapterParseError,0.5858161580108572,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2178,0,3,0.0,0,"[""```json\n{\n    \""pii\"": {\n        \""CREDITCARDNUMBER\"": \""7749388860497381\"",\n        \""CREDITCARDNUMBER\"": \""196\""\n    }\n}\n```""]"
