adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,19.01256969201495,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1852,0,2,0.0,0,"[""```python\n[[ ## text ## ]]\nAlbertsons and Rite Aid called off the planned merger after several advisory firms recommended voting against the proposal.\n\n[[ ## entities ## ]]\n{\""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""}, \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""}, \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents geographical locations, such as political regions, countries, states, cities, roads, or any other location, even when used as adjectives.\"", \""title\"": \""Location\""}, \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Monetary value expressed in any world currency, including digital currencies.\"", \""title\"": \""Money\""}, \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Name of an individual.\"", \""title\"": \""Person\""}, \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any physical object or service manufactured or provided by a company to consumers, excluding references to businesses or sectors within the financial context.\"", \""title\"": \""Product\""}, \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities. Note that unit of measurements are also part of the entity.\"", \""title\"": \""Quantity\""}}, \""title\"": \""Entities\""}\n\n[[ ## completed ## ]]\nIn adhering to this structure, the entities extracted from the financial news text are:\n\n{\""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""}, \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""}, \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,parse_error,AdapterParseError,7.731298467988381,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,1843,0,3,0.0,0,"[""```python\n[[ ## text ## ]]\n{\n    \""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents geographical locations, such as political regions, countries, states, cities, roads, or any other location, even when used as adjectives.\"", \""title\"": \""Location\""},\n    \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Monetary value expressed in any world currency, including digital currencies.\"", \""title\"": \""Money\""},\n    \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Name of an individual.\"", \""title\"": \""Person\""},\n    \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any physical object or service manufactured or provided by a company to consumers, excluding references to businesses or sectors within the financial context.\"", \""title\"": \""Product\""},\n    \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities. Note that unit of measurements are also part of the entity.\"", \""title\"": \""Quantity\""}},\n    \""title\"": \""Entities\""}\n}\n\n[[ ## completed ## ]]\n{\n    \""Company\"": [\""Essilor\"", \""Luxottica\""],\n    \""Date\"": \""year ended March 2020\"",\n    \""Location\"": [\""political regions\"", \""countries\"", \""states\"", \""cities\"", \""roads\""],\n    \""Money\"": [],\n    \""Person\"": [],\n    \""Product\"": [],\n    \""Quantity\"": [\""weight\"", \""length\"", \""measurements (e.g., weight, length), \""any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities.\"", \""any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities.\"", \""any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities.\"", \""any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities.\"", \""any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g.,""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,ok,,2.8557051479874644,1,none,2,9,0.2222,False,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0],,,1293,0,7,0.0,0,"[""```python\nimport re\nfrom bs4 import BeautifulSoup\n\n# Sample financial news text\ntext = \""On February 21 , Broadcom reduced their offer to $117 billion in light of Qualcomms increased bid for NXP Semconductors. The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds .\""\n\n# Extracting entities from the text\ndef extract_entities(text):\n    soup = BeautifulSoup(text, 'html.parser')\n    entities = []\n    for entity in soup.find_all('div', class_='entity'):\n        if entity.get('class') == 'entity':\n            entity_text = entity.get('text')\n            if entity_text:\n                entities.append(entity_text)\n    return entities\n\nentities = extract_entities(text)\n\n# Formatting the output\n[[ ## entities ## ]]\n{\n    \""type\"": \""object\"",\n    \""properties\"": {\n        \""Company\"": [],\n        \""Default\"": \""\"",\n        \""Description\"": \""\"",\n        \""Title\"": \""\"",\n        \""Location\"": [],\n        \""Money\"": [],\n        \""Person\"": [],\n        \""Product\"": [],\n        \""Quantity\"": []\n    }\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,parse_error,AdapterParseError,7.913332130003255,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1843,0,3,0.0,0,"[""```python\nimport re\n\n# Sample financial news text\ntext = \""Bank of America to Buy Merrill Lynch for $50 Billion\""\n\n# Regular expression pattern to match entities\nentity_pattern = r'\\b\\w+\\s*\\b\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w+\\s*\\w""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,4.042291677993489,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,1440,0,5,0.0,0,"[""```python\n[[ ## text ## ]]\nBroadcom cuts Qualcomm offer to $117 billion after new NXP deal | Reuters\n\n{\n    \""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Broadcom\"", \""title\"": \""Company\""},\n    \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""New NXP deal\"", \""title\"": \""Date\""},\n    \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""None\"", \""title\"": \""Location\""},\n    \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""None\"", \""title\"": \""Money\""},\n    \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""None\"", \""title\"": \""Person\""},\n    \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""None\"", \""title\"": \""Product\""},\n    \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""None\"", \""title\"": \""Quantity\""}\n}\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,5.137878709996585,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,1596,0,3,0.0,0,"[""```python\n[[ ## text ## ]]\nA British Company Weighs Buying Mci in $22 Billion Deal\n\n[[ ## entities ## ]]\n{\n    \""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\"")\"", \""title\"": \""Date\""},\n    \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents geographical locations, such as political regions, countries, states, cities, roads, or any other location, even when used as adjectives.\"", \""title\"": \""Location\""},\n    \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Monetary value expressed in any world currency, including digital currencies.\"", \""title\"": \""Money\""},\n    \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Name of an individual.\"", \""title\"": \""Person\""},\n    \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any physical object or service manufactured or provided by a company to consumers, excluding references to businesses or sectors within the financial context.\"", \""title\"": \""Product\""},\n    \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities. Note that unit of measurements are also part of the entity.\"", \""title\"": \""Quantity\""}},\n    \""title\"": \""Entities\""}\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,6.280564878019504,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,1808,0,8,0.0,0,"[""```python\n[[ ## text ## ]]\nBoston Scientific announced an unsolicited offer of $24.6 billion for Guidant.\n\n[[ ## entities ## ]]\n{\n    \""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents geographical locations, such as political regions, countries, states, cities, roads, or any other location, even when used as adjectives.\"", \""title\"": \""Location\""},\n    \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Monetary value expressed in any world currency, including digital currencies.\"", \""title\"": \""Money\""},\n    \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Name of an individual.\"", \""title\"": \""Person\""},\n    \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any physical object or service manufactured or provided by a company to consumers, excluding references to businesses or sectors within the financial context.\"", \""title\"": \""Product\""},\n    \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities. Note that unit of measurements are also part of the entity.\"", \""title\"": \""Quantity\""}},\n    \""Title\"": \""Entities\""}\n}\n\n[[ ## completed ## ]]\nIn adhering to this structure, your objective is:\n\nIdentify and extract entities from the following financial news text into the following categories:\n- Extract all relevant entities as a list of strings, preserving the wording from the text\n- Use None if no entities are found in that category\n- Only extract entities that are explicitly mentioned in the text itself, do not make inferences or reason about what entities might be implied based on URLs, domain names, or other indirect references\n\nExtract individual items rather than compound or ranged entities (e.g., if a range or compound entity is mentioned, extract each individual item separately)\n\n""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,parse_error,AdapterParseError,5.284140318981372,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1598,0,3,0.0,0,"[""```python\n[[ ## text ## ]]\nTime Warner rejects $80B offer from 21st Century Fox\n\n{\n    \""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents geographical locations, such as political regions, countries, states, cities, roads, or any other location, even when used as adjectives.\"", \""title\"": \""Location\""},\n    \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Monetary value expressed in any world currency, including digital currencies.\"", \""title\"": \""Money\""},\n    \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Name of an individual.\"", \""title\"": \""Person\""},\n    \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any physical object or service manufactured or provided by a company to consumers, excluding references to businesses or sectors within the financial context.\"", \""title\"": \""Product\""},\n    \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities. Note that unit of measurements are also part of the entity.\"", \""title\"": \""Quantity\""}},\n    \""title\"": \""Entities\""}\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,5.130714387982152,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1594,0,1,0.0,0,"[""```python\n[[ ## text ## ]]\nINTERNATIONAL BUSINESS; Japan Banks to Merge , with Wider Effects\n\n[[ ## entities ## ]]\n{\n    \""Company\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    \""Date\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\"")\"", \""title\"": \""Date\""},\n    \""Location\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Represents geographical locations, such as political regions, countries, states, cities, roads, or any other location, even when used as adjectives.\"", \""title\"": \""Location\""},\n    \""Money\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Monetary value expressed in any world currency, including digital currencies.\"", \""title\"": \""Money\""},\n    \""Person\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Name of an individual.\"", \""title\"": \""Person\""},\n    \""Product\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any physical object or service manufactured or provided by a company to consumers, excluding references to businesses or sectors within the financial context.\"", \""title\"": \""Product\""},\n    \""Quantity\"": {\""anyOf\"": [{\""type\"": \""array\"", \""items\"": {\""type\"": \""string\""}}, {\""type\"": \""null\""}], \""default\"": null, \""description\"": \""Any numeric value that is not categorized as Money, such as percentages, numbers, measurements (e.g., weight, length), or other similar quantities. Note that unit of measurements are also part of the entity.\"", \""title\"": \""Quantity\""}},\n    \""title\"": \""Entities\""}\n}\n\n[[ ## completed ## ]]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,1.9135497300012503,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,1213,0,3,0.0,0,"[""```python\n[[ ## text ## ]]\n{\n    \""entities\"": [\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""NEW PLAN\""\n        },\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""FILED BY COLUMBIA GROUP\""\n        },\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""Merger of Four Subsidiaries\""\n        },\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""Acquisition of Another\""\n        },\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""Proposed to SEC HEARING SET FOR SEPT.\""\n        },\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""Consolidation to Form a New Corporation\""\n        },\n        {\n            \""type\"": \""string\"",\n            \""description\"": \""Utilities Concern\""\n        }\n    ]\n}\n\n[[ ## completed ## ]]\n```""]"
