adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0000,ok,,9.157223023999904,1,none,51,56,0.9107,False,AMOUNT;CREDITCARDISSUER;CURRENCY;PHONEIMEI;TIME,,,3036
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0001,parse_error,AdapterParseError,1.9980633390005096,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2628
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0002,ok,,3.3480429020000884,1,none,54,56,0.9643,False,PHONEIMEI;VEHICLEVIN,,,3029
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0003,ok,,3.4076391810012865,1,none,52,56,0.9286,False,AMOUNT;COMPANYNAME;CREDITCARDNUMBER;CURRENCYCODE,,,3037
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0004,parse_error,AdapterParseError,0.7046464690010907,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2279
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0005,ok,,3.326440064000053,1,none,54,56,0.9643,False,IPV6;JOBTYPE,,,3024
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0006,ok,,3.356488352001179,1,none,53,56,0.9464,False,CITY;FIRSTNAME;LASTNAME,,,2995
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0007,ok,,1.1410843949997798,1,none,54,56,0.9643,False,IBAN;MASKEDNUMBER,,,2411
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0008,ok,,3.3279635750004672,1,none,53,56,0.9464,False,AMOUNT;CURRENCYSYMBOL;FIRSTNAME,,,3003
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0009,ok,,3.346806101000766,1,none,53,56,0.9464,False,CREDITCARDCVV;FIRSTNAME;MASKEDNUMBER,,,3009
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0010,ok,,3.387001691999103,1,none,52,56,0.9286,False,FIRSTNAME;LASTNAME;MIDDLENAME;PHONEIMEI,,,3024
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0011,parse_error,AdapterParseError,3.3540416100004222,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3049
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0012,ok,,3.3299813289995654,1,none,54,56,0.9643,False,EYECOLOR;FIRSTNAME,,,2996
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0013,ok,,3.4134874740011583,1,none,53,56,0.9464,False,JOBTITLE;MIDDLENAME;PREFIX,,,2997
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0014,parse_error,AdapterParseError,0.547423340000023,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2236
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0015,ok,,3.4129379599999083,1,none,54,56,0.9643,False,IPV6;USERAGENT,,,3096
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0016,parse_error,AdapterParseError,0.7086664119997295,1,none,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2284
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0017,ok,,3.362200016001225,1,none,52,56,0.9286,False,FIRSTNAME;IPV4;JOBTITLE;URL,,,3013
chat,ChatAdapter(use_json_adapter_fallback=False),pii-0018,ok,,3.422223028001099,1,none,54,56,0.9643,False,ETHEREUMADDRESS;ZIPCODE,,,3035
