adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,10.759921808999934,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,1185
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,ok,,6.888388012000178,1,none,5,8,0.625,False,Company[0];Company[1];Location[0],,,1691
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,parse_error,AdapterParseError,1.2101020979998793,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,975
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,ok,,6.8065379340005165,1,none,5,8,0.625,False,Company[0];Company[1];Money[0],,,1690
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,0.9866317969999727,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,916
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,6.79561816200021,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,1693
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,1.85931762600012,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,1081
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,ok,,6.896028139999544,1,none,5,8,0.625,False,Company[0];Company[1];Money[0],,,1692
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,6.910983486000077,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1692
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,2.240533746999972,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,1121
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0010,parse_error,AdapterParseError,1.2926055699999779,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money;Person;Product;Quantity,,966
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0011,ok,,2.215728942000169,1,none,2,8,0.25,False,,Date;Location;Money;Person;Product;Quantity,Date[0];Location[0];Money[0];Person[0];Product[0];Quantity[0],1083
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0012,parse_error,AdapterParseError,1.2158724010005244,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Money[1];Person;Product;Quantity,,964
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0013,parse_error,AdapterParseError,1.358245006999823,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,970
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0014,parse_error,AdapterParseError,0.2646487920001164,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person[0];Product;Quantity,,829
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0015,ok,,6.8430088850000175,1,none,5,8,0.625,False,Company[0];Company[1];Money[0],,,1690
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0016,ok,,1.3928798360002475,1,none,5,10,0.5,False,Company[0];Company[1];Company[2];Company[3];Location[0],,,1004
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0017,parse_error,AdapterParseError,1.2524638400000185,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,954
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0018,parse_error,AdapterParseError,0.34424497400050313,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,834
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0019,parse_error,AdapterParseError,1.461170280999795,1,none,0,8,0.0,False,,Company[0];Company[1];Date[0];Location;Money;Person;Product;Quantity,,989
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0020,ok,,5.795531787999607,1,none,6,7,0.8571,False,Location[0],,,1553
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0021,parse_error,AdapterParseError,0.24410708600044018,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money[0];Person;Product;Quantity,,817
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0022,parse_error,AdapterParseError,1.2329187670002284,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,949
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0023,ok,,2.209235144999184,1,none,2,8,0.25,False,Money[0],Date;Location;Person;Product;Quantity,Date[0];Location[0];Money[1];Person[0];Product[0];Quantity[0],1082
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0024,parse_error,AdapterParseError,0.6237563060003595,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,903
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0025,parse_error,AdapterParseError,6.63190688099985,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money;Person;Product;Quantity[0],,1696
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0026,parse_error,AdapterParseError,1.0392000419997203,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,920
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0027,ok,,1.2848979410000538,1,none,2,8,0.25,False,,Date;Location;Money;Person;Product;Quantity,Date[0];Location[0];Money[0];Person[0];Product[0];Quantity[0],955
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0028,ok,,1.9616540509996412,1,none,6,9,0.6667,False,Company[0];Company[1];Company[2],,,1056
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0029,parse_error,AdapterParseError,6.705896133000351,1,none,0,9,0.0,False,,Company[0];Company[1];Date;Location[0];Location[1];Money[0];Person;Product[0];Quantity,,1709
json,JSONAdapter(),financial-ner-0000,validation_error,ValidationError,0.9436463550009648,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,955
json,JSONAdapter(),financial-ner-0001,validation_error,ValidationError,0.30944983900008083,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,871
