adapter,adapter_config,signature,n_messages,prompt_chars,prompt_tokens,outcome,error_class
chat,ChatAdapter(use_json_adapter_fallback=False),flat,2,750,174,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),nested,2,1124,303,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,2,1180,323,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),enum,2,858,218,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),optional,2,815,205,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,2,887,232,ok,
json,JSONAdapter(),flat,2,728,166,ok,
json,JSONAdapter(),nested,2,1209,321,ok,
json,JSONAdapter(),list_of_model,2,1277,344,ok,
json,JSONAdapter(),enum,2,836,210,ok,
json,JSONAdapter(),optional,2,803,201,ok,
json,JSONAdapter(),recursive,2,930,243,ok,
baml,BAMLAdapter(),flat,2,667,156,ok,
baml,BAMLAdapter(),nested,2,639,164,ok,
baml,BAMLAdapter(),list_of_model,2,651,165,ok,
baml,BAMLAdapter(),enum,2,685,178,ok,
baml,BAMLAdapter(),optional,2,688,171,ok,
baml,BAMLAdapter(),recursive,,,,format_error,ValueError
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",flat,2,691,159,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",nested,2,1077,292,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",list_of_model,2,1133,311,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",enum,2,799,203,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",optional,2,756,189,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",recursive,2,840,221,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",flat,2,691,159,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",nested,2,815,201,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",list_of_model,2,791,193,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",enum,2,799,203,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",optional,2,750,182,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",recursive,2,772,186,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",flat,2,675,154,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",nested,2,782,190,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",list_of_model,2,762,182,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",enum,2,783,198,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",optional,2,721,172,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",recursive,2,745,178,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",flat,2,685,159,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",nested,2,1076,294,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",list_of_model,2,1132,313,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",enum,2,793,203,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",optional,2,750,189,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",recursive,2,839,223,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",flat,2,685,159,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",nested,2,802,199,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",list_of_model,2,778,192,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",enum,2,793,203,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",optional,2,734,179,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",recursive,2,761,184,ok,
sola-jsonish-rescue,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS, parse_config=ParseConfig())",flat,2,691,159,ok,
sola-jsonish-rescue,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS, parse_config=ParseConfig())",nested,2,815,201,ok,
sola-jsonish-rescue,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS, parse_config=ParseConfig())",list_of_model,2,791,193,ok,
sola-jsonish-rescue,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS, parse_config=ParseConfig())",enum,2,799,203,ok,
sola-jsonish-rescue,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS, parse_config=ParseConfig())",optional,2,750,182,ok,
sola-jsonish-rescue,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS, parse_config=ParseConfig())",recursive,2,772,186,ok,
sola-yaml-rescue,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS, parse_config=ParseConfig())",flat,2,675,154,ok,
sola-yaml-rescue,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS, parse_config=ParseConfig())",nested,2,782,190,ok,
sola-yaml-rescue,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS, parse_config=ParseConfig())",list_of_model,2,762,182,ok,
sola-yaml-rescue,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS, parse_config=ParseConfig())",enum,2,783,198,ok,
sola-yaml-rescue,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS, parse_config=ParseConfig())",optional,2,721,172,ok,
sola-yaml-rescue,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS, parse_config=ParseConfig())",recursive,2,745,178,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",flat,2,692,160,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",nested,2,787,193,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",list_of_model,2,769,188,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",enum,2,800,204,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",optional,2,741,180,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",recursive,2,750,181,ok,
