adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,9.453476874999978,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1422
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,4.742462370999874,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1538
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,4.83656634099998,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1511
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,7.4067868180000005,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1837
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,7.678232457000377,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1855
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,5.027031550999709,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1500
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,7.42303626399962,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1850
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,3.739627918000224,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1375
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,7.419198619999861,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,1821
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,7.581931662999978,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1839
chat,ChatAdapter(use_json_adapter_fallback=False),case-0010,parse_error,AdapterParseError,7.916209557000002,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1885
chat,ChatAdapter(use_json_adapter_fallback=False),case-0011,parse_error,AdapterParseError,7.932496569999785,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1846
chat,ChatAdapter(use_json_adapter_fallback=False),case-0012,parse_error,AdapterParseError,7.95076175999975,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1842
chat,ChatAdapter(use_json_adapter_fallback=False),case-0013,parse_error,AdapterParseError,7.93666494099989,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,1833
chat,ChatAdapter(use_json_adapter_fallback=False),case-0014,parse_error,AdapterParseError,7.944591682999999,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1833
chat,ChatAdapter(use_json_adapter_fallback=False),case-0015,parse_error,AdapterParseError,7.835211952999998,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1840
chat,ChatAdapter(use_json_adapter_fallback=False),case-0016,parse_error,AdapterParseError,8.074972800000069,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name,,1881
chat,ChatAdapter(use_json_adapter_fallback=False),case-0017,parse_error,AdapterParseError,7.313294589999714,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1757
