adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0000,parse_error,AdapterParseError,12.080206478014588,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,883,0,2,0.0,0,"[""```python\n[\n    {\""text\"": \""Albertsons and Rite Aid called off the planned merger after several advisory firms recommended voting against the proposal.\""},\n    {\""entities\"": [\""Albertsons\"", \""Rite Aid\""], \""default\"": null, \""description\"": \""Albertsons and Rite Aid called off the planned merger after several advisory firms recommended voting against the proposal.\""}\n]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0001,parse_error,AdapterParseError,3.6742438029905315,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,1693,0,3,0.0,0,"[""```python\n[\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""default\"": null, \""description\"": \""EU clears merger of Essilor, Luxottica without conditions.\""},\n    {\""text\"": \""EU clears merger of Essilor, Luxottica without conditions\"", \""entities\"": [\""Essilor\"", \""Luxottica\""], \""""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0002,parse_error,AdapterParseError,3.733101320976857,1,none,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,1732,0,7,0.0,0,"[""```python\n[\n    {\""text\"": \""Broadcom reduced their offer to $117 billion in light of Qualcomms increased bid for NXP Semconductors.\"", \""entities\"": [\""Broadcom\"", \""Qualcomms\"", \""NXP Semconductors\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US company reduced their offer to $117 billion in light of Qualcomms increased bid for NXP Semconductors.\"", \""entities\"": [\""Qualcomms\"", \""NXP Semconductors\"", \""Company\""]},\n    {\""text\"": \""The deal was effectively blocked after US President Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after Donald Trump blocked any deal based upon national security grounds.\"", \""entities\"": [\""Donald Trump\"", \""National Security\"", \""US President\""]},\n    {\""text\"": \""The deal was effectively blocked after US company reduced their offer to $117 billion in light of Qualcomms increased bid for""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0003,parse_error,AdapterParseError,3.6783130709955003,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1693,0,3,0.0,0,"[""```python\n[\n    {\""text\"": \""Bank of America to Buy Merrill Lynch for $50 Billion\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing heavily in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing heavily in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is investing in Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null, \""description\"": \""Bank of America is acquiring Merrill Lynch to acquire the company for $50 billion.\"", \""title\"": \""Bank of America to Buy Merrill Lynch\""},\n    {\""entities\"": [\""Bank of America\"", \""Merrill Lynch\""], \""default\"": null""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0004,parse_error,AdapterParseError,3.8716953950060997,1,none,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,1699,0,5,0.0,0,"[""```python\n[\n    {\""text\"": \""Broadcom cuts Qualcomm offer to $117 billion after new NXP deal\"", \""entities\"": [\""Broadcom\"", \""Q%), \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadcom cuts Qualcomm offer to $117 billion after new NXP deal\"", \""entities\"": [\""Broadcom\"", \""Q%\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadcom cuts Qualcomm offer to $117 billion after new NXP deal\"", \""entities\"": [\""Broadcom\"", \""Q%\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadcom cuts Qualcomm offer to $117 billion after new NXP deal\"", \""entities\"": [\""Broadcom\"", \""Q%\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadcom cuts Qualcomm offer to $117 billion after new NXP deal\"", \""entities\"": [\""Broadcom\"", \""Q%\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadway Light\"", \""entities\"": [\""Broadway Light\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadcom cuts Qualcomm offer to $117 billion after new NXP deal\"", \""entities\"": [\""Broadcom\"", \""Q%\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadway Light\"", \""entities\"": [\""Broadway Light\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""J.A. Searle\"", \""entities\"": [\""J.A. Searle\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""The provided text does not contain any entities.\"", \""entities\"": [\""None\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Broadway Light\"", \""entities\"": [\""Broadway Light\""], \""completed\"": \""117 billion\""],\n    {\""text\"": \""Reuters\"", \""entities\"": [\""Reuters\"", \""Reuters\""], \""completed\"": \""11""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0005,parse_error,AdapterParseError,0.410843756981194,1,none,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,864,0,3,0.0,0,"[""```python\n[\n    {\""text\"": \""A British Company Weighs Buying Mci in $22 Billion Deal\""},\n    {\""entities\"": [\""British Company\"", \""Buying Mci\""], \""default\"": null, \""description\"": \""A British Company Weighs Buying Mci in $22 Billion Deal.\""}\n]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0006,parse_error,AdapterParseError,0.42603406801936217,1,none,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,942,0,8,0.0,0,"[""```python\n[\n    {\""text\"": \""Johnson & Johnson and Guidant offer $24.6 billion for Guidant\"", \""entities\"": [\""Johnson & Johnson\"", \""Guidant\""], \""default\"": null, \""description\"": \""An unsolicited offer of $24.6 billion for Guidant.\"", \""title\"": \""Johnson & Johnson and Guidant offer $24.6 billion for Guidant\""}\n]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0007,parse_error,AdapterParseError,0.39085332199465483,1,none,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,868,0,3,0.0,0,"[""```python\n[\n    {\""text\"": \""Time Warner rejects $80B offer from 21st Century Fox\""},\n    {\""entities\"": [\""Time Warner\"", \""21st Century Fox\""], \""default\"": null, \""description\"": \""Time Warner rejects $80B offer from 21st Century Fox.\""\n]\n```""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0008,parse_error,AdapterParseError,3.7404269549879245,1,none,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,1692,0,1,0.0,0,"[""```python\n[\n    {\""text\"": \""INTERNATIONAL BUSINESS\"", \""entities\"": [\""Japan Banks to Merge\"", \""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects\""]},\n    {\""text\"": \""Japan Banks to Merge\"", \""entities\"": [\""with Wider Effects""]"
chat,ChatAdapter(use_json_adapter_fallback=False),financial-ner-0009,parse_error,AdapterParseError,3.8191903920087498,1,none,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,1723,0,3,0.0,0,"[""```python\n[\n    {\""text\"": \""NEW PLAN IS FILED BY COLUMBIA GROUP; Merger of Four Subsidiaries , Acquisition of Another is Proposed to SEC HEARING SET FOR SEPT. 8 Consolidation to Form a New Corporation is Objective of Utilities Concern\""},\n    {\""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    {\""text\"": \""CONCLUSION IS OBJECTIVE OF UTILITIES CONCERN\"", \""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    {\""text\"": \""NEW PLAN IS FILED BY COLUMBIA GROUP; Merger of Four Subsidiaries , Acquisition of Another is Proposed to SEC HEARING SET FOR SEPT. 8 Consolidation to Form a New Corporation is Objective of Utilities Concern\""},\n    {\""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    {\""text\"": \""CONCLUSION IS OBJECTIVE OF UTILITIES CONCERN\"", \""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    {\""text\"": \""NEW PLAN IS FILED BY COLUMBIA GROUP; Merger of Four Subsidiaries , Acquisition of Another is Proposed to SEC HEARING SET FOR SEPT. 8 Consolidation to Form a New Corporation is Objective of Utilities Concern\""},\n    {\""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    {\""text\"": \""CONCLUSION IS OBJECTIVE OF UTILITIES CONCERN\"", \""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    {\""text\"": \""NEW PLAN IS FILED BY COLUMBIA GROUP; Merger of Four Subsidiaries , Acquisition of Another is Proposed to SEC HEARING SET FOR SEPT. 8 Consolidation to Form a New Corporation is Objective of Utilities Concern\""},\n    {\""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    {\""text\"": \""CONCLUSION IS OBJECTIVE OF UTILITIES CONCERN\"", \""entities\"": [\""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"") or implicitly referred to (e.g., \\\""last month\\\""), in the past, present, or future.\"", \""title\"": \""Date\""},\n    {\""text\"": \""NEW PLAN IS FILED BY ANOTHER COMPANY; Merger of Four Subsidiaries , Acquisition of Another is Proposed to SEC HEARING SET FOR SEPT. 8 Consolidation to Form a New Corporation is Objective of Utilities Concern\""},\n    {\""entities\"": [\""ANOTHER COMPANY\"", \""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Official or unofficial name of a registered company or a brand.\"", \""title\"": \""Company\""},\n    {\""text\"": \""CONCLUSION IS OBJECTIVE OF UTILITIES CONCERN\"", \""entities\"": [\""ANOTHER COMPANY\"", \""COLUMBIA GROUP\"", \""Four Subsidiaries\""], \""default\"": null, \""description\"": \""Specific time period, whether explicitly mentioned (e.g., \\\""year ended March 2020\\\"")""]"
