adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
json,JSONAdapter(),financial-ner-0000,validation_error,ValidationError,7.9770325280260295,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,955,0,2,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""organization\"",\n      \""title\"": \""Albertsons\"",\n      \""description\"": \""A supermarket chain in the United States\"",\n      \""entities\"": [\n        \""Albertsons\"",\n        \""Rite Aid\""\n      ]\n    },\n    {\n      \""type\"": \""organization\"",\n      \""title\"": \""Rite Aid\"",\n      \""description\"": \""A supermarket chain in the United States\"",\n      \""entities\"": [\n        \""Albertsons\"",\n        \""Rite Aid\""\n      ]\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0001,validation_error,ValidationError,0.3499637749628164,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,871,0,3,0.0,0,"[""{\n  \""entities\"": [\n    \""Essilor\"",\n    \""Luxottica\"",\n    \""EU\"",\n    \""merger\"",\n    \""no conditions\""\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0002,validation_error,ValidationError,0.6890944509650581,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,952,0,7,0.0,0,"[""{\n\n  \""entities\"": [\n    {\""type\"": \""Company\"", \""value\"": \""Broadcom\""},\n    {\""type\"": \""Company\"", \""value\"": \""Qualcomms\""},\n    {\""type\"": \""Person\"", \""value\"": \""Donald Trump\""},\n    {\""type\"": \""Location\"", \""value\"": \""United States\""},\n    {\""type\"": \""Date\"", \""value\"": \""February 21\""}\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0003,validation_error,ValidationError,0.27904925897018984,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,863,0,3,0.0,0,"[""{\n  \""entities\"": [\n    \""Bank of America\"",\n    \""Merrill Lynch\"",\n    \""50 Billion\""\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0004,validation_error,ValidationError,0.33792671002447605,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,870,0,5,0.0,0,"[""{\n  \""entities\"": [\n    \""Broadcom\"",\n    \""Qualcomm\"",\n    \""NXP\"",\n    \""117 billion\""\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0005,validation_error,ValidationError,6.616368336020969,1,json_object,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,1738,0,3,0.0,0,"[""{\n\n  \""entities\"": [\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""United Kingdom\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's\"",\n    \""McDonald's Corporation\"",\n    \""McDonald's""]"
json,JSONAdapter(),financial-ner-0006,validation_error,ValidationError,1.4293991210288368,1,json_object,0,13,0.0,False,,Company[0];Company[1];Company[2];Date;Location;Money[0];Money[1];Money[2];Money[3];Money[4];Person;Product;Quantity,,1080,0,8,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""type\"": \""organization\"",\n      \""title\"": \""Guidant\"",\n      \""value\"": \""$72 per share\"",\n      \""description\"": \""Offer of $72 per share of Guidant\""\n    },\n    {\n      \""type\"": \""organization\"",\n      \""title\"": \""Boston Scientific\"",\n      \""value\"": \""$36 in cash\"",\n      \""description\"": \""Fixed number of Boston Scientific shares valued at $36 a share\""\n    },\n    {\n      \""type\"": \""organization\"",\n      \""title\"": \""Johnson & Johnson\"",\n      \""value\"": \""$21.5 billion\"",\n      \""description\"": \""Lower price of $21.5 billion\""\n    },\n    {\n      \""type\"": \""organization\"",\n      \""title\"": \""Guidant\"",\n      \""value\"": \""$24.6 billion\"",\n      \""description\"": \""Unsolicited offer of $24.6 billion\""\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0007,validation_error,ValidationError,6.507060922042001,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,1737,0,3,0.0,0,"[""{\n  \""entities\"": [\n    \""Time Warner\"",\n    \""21st Century Fox\"",\n    \""Fox Corporation\"",\n    \""21st Century Fox\"",\n    \""WarnerMedia\"",\n    \""Warner Bros. Entertainment\"",\n    \""Warner Bros. Pictures\"",\n    \""Warner Music Group\"",\n    \""Warner Theatrical Distribution\"",\n    \""Warner Home Video\"",\n    \""Warner Digital Cinema\"",\n    \""Warner Digital Distribution\"",\n    \""Warner Digital Marketing\"",\n    \""Warner Digital Sales\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Technology\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services\"",\n    \""Warner Digital Services""]"
json,JSONAdapter(),financial-ner-0008,validation_error,ValidationError,0.30897768400609493,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,866,0,1,0.0,0,"[""{\n\n  \""entities\"": [\n    \""Japan\"",\n    \""Banks\"",\n    \""Merge\"",\n    \""Wider effects\""\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0009,validation_error,ValidationError,0.43132813402917236,1,json_object,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,927,0,3,0.0,0,"[""{\n\n  \""entities\"": [\n    \""Columbia Group\"",\n    \""Merger of Four Subsidiaries\"",\n    \""Acquisition of Another\"",\n    \""SEC Hearing\"",\n    \""Consolidation\"",\n    \""New Corporation\"",\n    \""Utilities\""\n  ]\n}""]"
