adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
json,JSONAdapter(),financial-ner-0000,validation_error,ValidationError,2.77169160899939,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money;Person;Product;Quantity,,974,0,2,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\n        \""Albertsons\"",\n        \""Rite Aid\""\n      ],\n      \""Date\"": [\n        \""2024\""\n      ],\n      \""Location\"": [\n        \""United States\""\n      ],\n      \""Money\"": [\n        null\n      ],\n      \""Person\"": [\n        null\n      ],\n      \""Product\"": [\n        null\n      ],\n      \""Quantity\"": [\n        null\n      ]\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0001,validation_error,ValidationError,0.6817365839960985,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location[0];Money;Person;Product;Quantity,,907,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Essilor\"", \""Luxottica\""],\n      \""Date\"": [],\n      \""Location\"": [],\n      \""Money\"": [],\n      \""Person\"": [],\n      \""Product\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0002,validation_error,ValidationError,0.8166078809881583,1,json_object,0,9,0.0,False,,Company[0];Company[1];Company[2];Date[0];Location[0];Money[0];Person[0];Product;Quantity,,968,0,7,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Broadcom\"", \""Qualcomms\""],\n      \""Date\"": [\""February 21\""],\n      \""Location\"": [],\n      \""Money\"": [\""$117 billion\""],\n      \""Person\"": [],\n      \""Product\"": [\""NXP Semconductors\""],\n      \""Quantity\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0003,validation_error,ValidationError,0.7132085899938829,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,914,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Bank of America\"", \""BofA\""],\n      \""Date\"": [],\n      \""Location\"": [],\n      \""Money\"": [],\n      \""Person\"": [],\n      \""Product\"": [],\n      \""Quantity\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0004,validation_error,ValidationError,0.7960324179730378,1,json_object,0,10,0.0,False,,Company[0];Company[1];Company[2];Company[3];Date;Location;Money[0];Person;Product;Quantity,,936,0,5,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Broadcom\"", \""NXP\""],\n      \""Date\"": [\""2024\""],\n      \""Location\"": [],\n      \""Money\"": [\""$117 billion\""],\n      \""Person\"": [],\n      \""Product\"": [\""Qualcomm\"", \""NXP\""],\n      \""Quantity\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0005,validation_error,ValidationError,0.6214076589676552,1,json_object,0,7,0.0,False,,Company[0];Date;Location[0];Money[0];Person;Product;Quantity,,905,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""McI\""],\n      \""Date\"": [],\n      \""Location\"": [],\n      \""Money\"": [],\n      \""Person\"": [],\n      \""Product\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0006,ok,,0.990415841981303,1,json_object,11,13,0.8462,False,Money[2],Product,Money[5];Product[0],1013,7,8,0.875,1,"[""{\n  \""entities\"": {\n    \""Company\"": [\n      \""Johnson & Johnson\"",\n      \""Guidant\"",\n      \""Boston Scientific\""\n    ],\n    \""Money\"": [\n      \""$21.5 billion\"",\n      \""$24.6 billion\"",\n      \""$72 per share\"",\n      \""$36 in cash\"",\n      \""$36 a share\""\n    ],\n    \""Product\"": [\n      \""Guidant\""\n    ]\n  }\n}""]"
json,JSONAdapter(),financial-ner-0007,validation_error,ValidationError,0.6797928750165738,1,json_object,0,8,0.0,False,,Company[0];Company[1];Date;Location;Money[0];Person;Product;Quantity,,916,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Time Warner\"", \""Time Warner Cable\""],\n      \""Date\"": [],\n      \""Location\"": [],\n      \""Money\"": [],\n      \""Person\"": [],\n      \""Product\"": [],\n      \""Quantity\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0008,validation_error,ValidationError,0.6486369439517148,1,json_object,0,7,0.0,False,,Company;Date;Location[0];Money;Person;Product;Quantity,,908,0,1,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Japan Bank\""],\n      \""Date\"": [],\n      \""Location\"": [],\n      \""Money\"": [],\n      \""Person\"": [],\n      \""Product\"": [],\n      \""Quantity\"": []\n    }\n  ]\n}""]"
json,JSONAdapter(),financial-ner-0009,validation_error,ValidationError,0.7273312199977227,1,json_object,0,7,0.0,False,,Company[0];Date[0];Location;Money;Person;Product;Quantity[0],,958,0,3,0.0,0,"[""{\n  \""entities\"": [\n    {\n      \""Company\"": [\""Columbia Group\""],\n      \""Date\"": [\""September 8, 2024\""],\n      \""Location\"": [\""United States\""],\n      \""Money\"": [],\n      \""Person\"": [],\n      \""Product\"": [],\n      \""Quantity\"": []\n    }\n  ]\n}""]"
