adapter,adapter_config,signature,trial,outcome,error_class,wall_s,lm_calls,fallback_suspected,response_format_sent,total_tokens,prompt_tokens_reported,completion_tokens_reported
chat,ChatAdapter(use_json_adapter_fallback=False),flat,1,ok,,23.092026368000006,1,False,none,488,189,299
chat,ChatAdapter(use_json_adapter_fallback=False),nested,1,ok,,8.530027185000023,1,False,none,678,320,358
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,1,ok,,8.906395650000007,1,False,none,719,340,379
chat,ChatAdapter(use_json_adapter_fallback=False),enum,1,parse_error,AdapterParseError,7.680243501999996,1,False,none,562,233,329
chat,ChatAdapter(use_json_adapter_fallback=False),optional,1,ok,,3.764400803000001,1,False,none,378,220,158
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,1,ok,,15.650038429999995,1,False,none,809,247,562
json,JSONAdapter(),flat,1,ok,,11.160479484000007,1,False,json_object,587,545,42
json,JSONAdapter(),nested,1,ok,,7.889294767000024,1,False,json_object,652,600,52
json,JSONAdapter(),list_of_model,1,ok,,11.360842783999999,1,False,json_object,829,769,60
json,JSONAdapter(),enum,1,ok,,14.752804712000056,1,False,json_object,735,718,17
json,JSONAdapter(),optional,1,ok,,23.626116347999982,1,False,json_object,1085,1069,16
json,JSONAdapter(),recursive,1,parse_error,AdapterParseError,21.398268430999963,1,False,json_object,1158,258,900
baml,BAMLAdapter(),flat,1,ok,,14.55363747299998,1,False,json_object,614,567,47
baml,BAMLAdapter(),nested,1,ok,,10.671600106000028,1,False,json_object,562,510,52
baml,BAMLAdapter(),list_of_model,1,ok,,7.593514424000034,1,False,json_object,493,433,60
baml,BAMLAdapter(),enum,1,ok,,5.69644558899995,1,False,json_object,424,411,13
baml,BAMLAdapter(),optional,1,ok,,5.511942006000027,1,False,json_object,411,395,16
baml,BAMLAdapter(),recursive,1,format_error,ValueError,0.007316682999999102,0,False,none,,,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",flat,1,ok,,9.184642845999974,1,False,json_object,541,492,49
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",nested,1,ok,,8.18593740700004,1,False,json_object,566,514,52
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",list_of_model,1,ok,,9.329941626999982,1,False,json_object,677,617,60
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",enum,1,ok,,16.54423589999999,1,False,json_object,642,629,13
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",optional,1,ok,,23.16182812400001,1,False,json_object,331,315,16
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",recursive,1,ok,,36.28210314400002,1,False,json_object,782,726,56
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",flat,1,ok,,28.341766293999967,1,False,json_object,624,585,39
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",nested,1,ok,,15.149641562000056,1,False,json_object,520,468,52
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",list_of_model,1,ok,,18.22810905999995,1,False,json_object,575,515,60
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",enum,1,ok,,15.03307883399998,1,False,json_object,429,416,13
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",optional,1,ok,,23.088036408999983,1,False,json_object,340,324,16
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",recursive,1,parse_error,AdapterParseError,25.532388675999982,1,False,json_object,633,584,49
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",flat,1,parse_error,AdapterParseError,11.675047198000016,1,False,none,604,182,422
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",nested,1,parse_error,AdapterParseError,10.78503330000001,1,False,none,450,227,223
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",list_of_model,1,parse_error,AdapterParseError,23.229933629000016,1,False,none,1163,263,900
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",enum,1,parse_error,AdapterParseError,14.013376844999925,1,False,none,473,226,247
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",optional,1,parse_error,AdapterParseError,22.466297963999978,1,False,none,459,202,257
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",recursive,1,ok,,13.685237720000032,1,False,none,713,228,485
