adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
json,JSONAdapter(),pii-0000,validation_error,ValidationError,11.43415763397934,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3731,0,5,0.0,0,"[""{\n  \""pii\"": \""{pii}        964480\"",\n  \""therapy_cost\"": \""Tala 964480\"",\n  \""payment_method\"": \""mastercard\"",\n  \""confirmation_number\"": \""73-675301-103047-0\"",\n  \""address\"": \""12\"",\n  \""phone_number\"": \""73-675301-103047-0\"",\n  \""email\"": \""your_email@example.com\"",\n  \""user_agent\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.302.110 Safari/537.36\"",\n  \""user_agent_language\"": \""en-US\"",\n  \""user_agent_country\"": \""US\"",\n  \""user_agent_postal_code\"": \""964480\"",\n  \""user_agent_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_country_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_language_country_phone_number\"": \""en-US\"",\n  \""user_agent_language_country\"": \""US\"",\n  \""user_agent_postal_code_country_phone_number\"": \""964480\"",\n  \""user_agent_phone_number_country_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_language_country\"": \""US\"",\n  \""user_agent_language\"": \""en-US\"",\n  \""user_agent_country\"": \""US\"",\n  \""user_agent_postal_code\"": \""964480\"",\n  \""user_agent_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_country_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_language_country\"": \""US\"",\n  \""user_agent_language\"": \""en-US\"",\n  \""user_agent_country\"": \""US\"",\n  \""user_agent_postal_code\"": \""964480\"",\n  \""user_agent_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_country_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_language_country\"": \""US\"",\n  \""user_agent_language\"": \""en-US\"",\n  \""user_agent_country\"": \""US\"",\n  \""user_agent_postal_code\"": \""964480\"",\n  \""user_agent_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_country_phone_number\"": \""73-675301-103047-0\"",\n  \""user_agent_language_country\"": \""US\"",\n  \""user_agent_language\"": \""en-US\"",\n  \""user_agent_country\"": \""US\"",\n  \""user_agent_postal_code\"": \""964480\"",\n  \""user_agent_phone_number\"": \""73-675301-103047-0\"",""]"
json,JSONAdapter(),pii-0001,validation_error,ValidationError,10.339143366960343,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3716,0,2,0.0,0,"[""{\n  \""pii\"": \""6500 126 2399\"",\n  \""title\"": \""Vaccine appointment slot\"",\n  \""description\"": \""You can now reserve your vaccine appointment by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Quote your SSN number 433 47 8265 as a reference.\"",\n  \""description_with_details\"": \""You can now reserve your vaccine appointment by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 2399. Please quote your SSN number 433 47 8265 as a reference.\"",\n  \""summary_with_details\"": \""Vaccine appointment slot can now be reserved by sending an SMS to 6500 126 23""]"
json,JSONAdapter(),pii-0002,validation_error,ValidationError,10.175997819984332,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3724,0,2,0.0,0,"[""{\n  \""pii\"": \""83-391083-420532-3\"",\n  \""title\"": \""Contact\"",\n  \""description\"": \""This is the PII for the ICU team. The contact number is 83-391083-420532-3.\"",\n  \""description2\"": \""The UUG8X414G1ES30559 is a unique identifier from the supplier. Call when you see this number.\"",\n  \""description3\"": \""The supplier's contact number is 3205323.\"",\n  \""description4\"": \""The supplier's contact number is 3234205323.\"",\n  \""description5\"": \""The supplier's contact number is 3234205323.\"",\n  \""description6\"": \""The supplier's contact number is 3234205323.\"",\n  \""description7\"": \""The supplier's contact number is 3234205323.\"",\n  \""description8\"": \""The supplier's contact number is 3234205323.\"",\n  \""description9\"": \""The supplier's contact number is 3234205323.\"",\n  \""description10\"": \""The supplier's contact number is 3234205323.\"",\n  \""description11\"": \""The supplier's contact number is 3234205323.\"",\n  \""description12\"": \""The supplier's contact number is 3234205323.\"",\n  \""description13\"": \""The supplier's contact number is 3234205323.\"",\n  \""description14\"": \""The supplier's contact number is 3234205323.\"",\n  \""description15\"": \""The supplier's contact number is 3234205323.\"",\n  \""description16\"": \""The supplier's contact number is 3234205323.\"",\n  \""description17\"": \""The supplier's contact number is 3234205323.\"",\n  \""description18\"": \""The supplier's contact number is 3234205323.\"",\n  \""description19\"": \""The supplier's contact number is 3234205323.\"",\n  \""description20\"": \""The supplier's contact number is 3234205323.\"",\n  \""description21\"": \""The supplier's contact number is 3234205323.\"",\n  \""description22\"": \""The supplier's contact number is 3234205323.\"",\n  \""description23\"": \""The supplier's contact number is 3234205323.\"",\n  \""description24\"": \""The supplier's contact number is 3234205323.\"",\n  \""description25\"": \""The supplier's contact number is 3234205323.\"",\n  \""description26\"": \""The supplier's contact number is 3234205323.\"",\n  \""description27\"": \""The supplier's contact number is 3234205323.\"",\n  \""description28\"": \""The supplier's contact number is 3234205323.\"",\n  \""description29\"": \""The supplier's contact number is 3234205323.\"",\n  \""description30\"": \""The supplier's contact number is 3234205323.\"",\n  \""description31\"": \""""]"
json,JSONAdapter(),pii-0003,validation_error,ValidationError,9.211217251024209,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3733,0,4,0.0,0,"[""{\n  \""pii\"": \""{pii}        3534282572218237\"",\n  \""text\"": \""Course fee payment receipt is attached.\"",\n  \""creditcard\"": \""ISK 342,754.57\"",\n  \""creditcardnumber\"": \""3534282572218237\"",\n  \""currency\"": \""ISK\"",\n  \""currencycode\"": \""ISK\"",\n  \""currencyname\"": \""ISK\"",\n  \""currencysymbol\"": \""\"",\n  \""dob\"": \""2023-10-01\"",\n  \""email\"": \""your@example.com\"",\n  \""phoneimei\"": \""001234567890\"",\n  \""phonenumber\"": \""001234567890\"",\n  \""pin\"": \""1234567890\"",\n  \""prefix\"": \""Your\"",\n  \""secondaryaddress\"": \""1234567890\"",\n  \""sex\"": \""Male\"",\n  \""state\"": \""New York\"",\n  \""street\"": \""Halvorson Avenue\"",\n  \""time\"": \""12:00 PM\"",\n  \""url\"": \""https://www.halvorsinc.com\"",\n  \""useragent\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""username\"": \""Halvorson\"",\n  \""vehiclevin\"": \""3534282572218237\"",\n  \""vehiclevrm\"": \""3534282572218237\"",\n  \""zipcode\"": \""10001\"",\n  \""address\"": \""Halvorson Avenue, Halvorson, New York, 10001, USA\"",\n  \""addressline\"": \""Halvorson Avenue, Halvorson, New York, 10001, USA\"",\n  \""city\"": \""Halvorson\"",\n  \""country\"": \""USA\"",\n  \""state\"": \""New York\"",\n  \""postalcode\"": \""10001\"",\n  \""postalcodeline\"": \""Halvorson Avenue, Halvorson, New York, 10001, USA\"",\n  \""emailaddress\"": \""your@example.com\"",\n  \""dobdate\"": \""2023-10-01\"",\n  \""dobdateformat\"": \""YYYY-MM-DD\"",\n  \""dobdateformattype\"": \""date\"",\n  \""email\"": \""your@example.com\"",\n  \""phone\"": \""001234567890\"",\n  \""phonetype\"": \""mobile\"",\n  \""phonenumber\"": \""001234567890\"",\n  \""pincode\"": \""1234567890\"",\n  \""pincodetype\"": \""postal\"",\n  \""pincode\"": \""1234567890\"",\n  \""pincodeline\"": \""Halvorson Avenue, Halvorson, New York, 10001, USA\"",\n  \""phonenumberline\"": \""Halvorson Avenue, Halvorson, New York, 10001, USA\"",\n  \""pin\"": \""1234567890\"",\n  \""pincode\"": \""1234567890\"",\n  \""pincodeline\"": \""Halvorson Avenue, Halvorson, New York, 10001, USA\"",\n  \""pincode\"":""]"
json,JSONAdapter(),pii-0004,validation_error,ValidationError,0.388311684015207,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2834,0,2,0.0,0,"[""{\n  \""pii\"": \""{pii}        05BHMWB78RK026069\""\n}""]"
json,JSONAdapter(),pii-0005,validation_error,ValidationError,0.6056882219854742,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2874,0,2,0.0,0,"[""{\n  \""pii\"": \""{pii}        00000000-0000-0000-0000-000000000000\""\n}""]"
json,JSONAdapter(),pii-0006,validation_error,ValidationError,0.5853530669701286,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2846,0,3,0.0,0,"[""{\n  \""pii\"": \""New-Margareteville-general-hospital-acknowledged-the-dedication-and-service-of-one-of-its-senior-nurses-lon-kihn\""\n}""]"
json,JSONAdapter(),pii-0007,validation_error,ValidationError,8.939347115985584,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,3722,0,2,0.0,0,"[""{\n  \""pii\"": \""{pii}        2061261018983115\"",\n  \""text\"": \""For Thursday's art showcase, 2061261018983115 paintings will be displayed.\"",\n  \""invoice_details\"": \""I've sent invoice details to FI0407396643360644.\"",\n  \""email\"": \""your_email@example.com\"",\n  \""phone_number\"": \""1234567890\"",\n  \""user_agent\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""username\"": \""your_username\"",\n  \""email_address\"": \""your_email@example.com\"",\n  \""user_agent_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""user_agent_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""phone_number_string\"": \""1234567890\"",\n  \""phone_number_string_string\"": \""1234567890\"",\n  \""user_agent_string_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""user_agent_string_string_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""user_agent_string_string_string_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""user_agent_string_string_string_string_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""user_agent_string_string_string_string_string_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36\"",\n  \""user_agent_string_string_string_string_string_string_string_string\"": \""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 ""]"
json,JSONAdapter(),pii-0008,validation_error,ValidationError,1.9250085930107161,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2991,0,3,0.0,0,"[""{\n  \""pii\"": \""{pii}        549831.16\"",\n  \""title\"": \""Toy Leadership Training Course\"",\n  \""description\"": \""This course has been fully paid, with a total cost of ₩ 549831.16.\"",\n  \""description_2\"": \""Please note that this is a fictional example and does not represent real financial data.\"",\n  \""description_3\"": \""For accurate financial information, please consult a trusted financial advisor or use official financial platforms.\"",\n  \""description_4\"": \""The format of the PII should strictly adhere to the JSON schema: {\\\""type\\\"": \\\""object\\\"", \\\""properties\\\"": [\\\""type\\\"", \\\""properties\\\""]}\"",\n  \""description_5\"": \""Ensure that all fields are correctly populated and formatted as per the JSON schema.\""\n}""]"
json,JSONAdapter(),pii-0009,validation_error,ValidationError,0.377793918014504,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2836,0,3,0.0,0,"[""{\n  \""pii\"": \""774938886049738196\""\n}""]"
