adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens,recall_matched,recall_total,recall,invented,replies
json,JSONAdapter(),pii-0000,ok,,7.330809666018467,1,json_object,51,56,0.9107,False,AMOUNT;CREDITCARDISSUER;CURRENCY;PHONEIMEI;TIME,,,2440,0,5,0.0,0,"[""{\n  \""pii\"": \""{\\\""type\\\"": \\\""string\\\"", \\\""value\\\"": \\\""964480\\\"", \\\""format\\\"": \\\""DIN-13\\\""}\""\n}""]"
json,JSONAdapter(),pii-0001,ok,,0.2966184290125966,1,json_object,54,56,0.9643,False,PHONENUMBER;SSN,,,2423,0,2,0.0,0,"[""{\n  \""pii\"": \""{\\\""type\\\"": \\\""ssn\\\"", \\\""value\\\"": \\\""433 47 8265\\\""}\""\n}""]"
json,JSONAdapter(),pii-0002,ok,,0.31309373100521043,1,json_object,54,56,0.9643,False,PHONEIMEI;VEHICLEVIN,,,2433,0,2,0.0,0,"[""{\n  \""pii\"": \""{\\\""type\\\"": \\\""phone\\\"", \\\""value\\\"": \\\""(83) 391-083-420-532-3\\\""}\""\n}""]"
json,JSONAdapter(),pii-0003,validation_error,ValidationError,0.17369146598502994,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2423,0,4,0.0,0,"[""{\n  \""pii\"": \""3534282572218237\""\n}""]"
json,JSONAdapter(),pii-0004,ok,,2.8816744670039043,1,json_object,52,56,0.9286,False,ACCOUNTNAME;ACCOUNTNUMBER;FIRSTNAME;VEHICLEVIN,,,2774,0,2,0.0,2,"[""{\n  \""pii\"": \""{\\\""ACCOUNTNAME\\\"": \\\""Norbert\\\"", \\\""ACCOUNTNUMBER\\\"": \\\""05BHMWB78RK026069\\\"", \\\""AGE\\\"": null, \\\""AMOUNT\\\"": null, \\\""BIC\\\"": null, \\\""BITCOINADDRESS\\\"": null, \\\""BUILDINGNUMBER\\\"": null, \\\""CITY\\\"": null, \\\""COMPANYNAME\\\"": null, \\\""COUNTY\\\"": null, \\\""CREDITCARDCVV\\\"": null, \\\""CREDITCARDISSUER\\\"": null, \\\""CREDITCARDNUMBER\\\"": null, \\\""CURRENCY\\\"": null, \\\""CURRENCYCODE\\\"": null, \\\""CURRENCYNAME\\\"": null, \\\""CURRENCYSYMBOL\\\"": null, \\\""DATE\\\"": null, \\\""DOB\\\"": null, \\\""EMAIL\\\"": null, \\\""ETHEREUMADDRESS\\\"": null, \\\""EYECOLOR\\\"": null, \\\""FIRSTNAME\\\"": null, \\\""GENDER\\\"": null, \\\""HEIGHT\\\"": null, \\\""IBAN\\\"": null, \\\""IP\\\"": null, \\\""IPV4\\\"": null, \\\""IPV6\\\"": null, \\\""JOBAREA\\\"": null, \\\""JOBTITLE\\\"": null, \\\""JOBTYPE\\\"": null, \\\""LASTNAME\\\"": null, \\\""LITECOINADDRESS\\\"": null, \\\""MAC\\\"": null, \\\""MASKEDNUMBER\\\"": null, \\\""MIDDLENAME\\\"": null, \\\""NEARBYGPSCOORDINATE\\\"": null, \\\""ORDINALDIRECTION\\\"": null, \\\""PASSWORD\\\"": null, \\\""PHONEIMEI\\\"": null, \\\""PHONENUMBER\\\"": null, \\\""PIN\\\"": null, \\\""PREFIX\\\"": null, \\\""SECONDARYADDRESS\\\"": null, \\\""SEX\\\"": null, \\\""SSN\\\"": null, \\\""STATE\\\"": null, \\\""STREET\\\"": null, \\\""TIME\\\"": null, \\\""URL\\\"": null, \\\""USERAGENT\\\"": null, \\\""USERNAME\\\"": null, \\\""VEHICLEVIN\\\"": null, \\\""VEHICLEVRM\\\"": null, \\\""ZIPCODE\\\"": null}}\"" }""]"
json,JSONAdapter(),pii-0005,validation_error,ValidationError,0.32260458200471476,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2440,0,2,0.0,0,"[""{\n  \""pii\"": \""eae3:e28d:8b88:6238:ac3d:30b9:eeaa:cf79\""\n}""]"
json,JSONAdapter(),pii-0006,validation_error,ValidationError,0.6105228230007924,1,json_object,0,56,0.0,False,,ACCOUNTNAME;ACCOUNTNUMBER;AGE;AMOUNT;BIC;BITCOINADDRESS;BUILDINGNUMBER;CITY;COMPANYNAME;COUNTY;CREDITCARDCVV;CREDITCARDISSUER;CREDITCARDNUMBER;CURRENCY;CURRENCYCODE;CURRENCYNAME;CURRENCYSYMBOL;DATE;DOB;EMAIL;ETHEREUMADDRESS;EYECOLOR;FIRSTNAME;GENDER;HEIGHT;IBAN;IP;IPV4;IPV6;JOBAREA;JOBTITLE;JOBTYPE;LASTNAME;LITECOINADDRESS;MAC;MASKEDNUMBER;MIDDLENAME;NEARBYGPSCOORDINATE;ORDINALDIRECTION;PASSWORD;PHONEIMEI;PHONENUMBER;PIN;PREFIX;SECONDARYADDRESS;SEX;SSN;STATE;STREET;TIME;URL;USERAGENT;USERNAME;VEHICLEVIN;VEHICLEVRM;ZIPCODE,,2457,0,3,0.0,0,"[""{\n  \""pii\"": \""Lon Kihn, Lon Kihn, Lon Kihn, (02) 6561 1234, (02) 6561 1234, 123 Main St, Margareteville, VIC 3128, Australia, (02) 6561 1234, lonkihn@generalhospital.com\""\n}""]"
json,JSONAdapter(),pii-0007,ok,,0.35715137800434604,1,json_object,54,56,0.9643,False,IBAN;MASKEDNUMBER,,,2429,0,2,0.0,0,"[""{\n  \""pii\"": \""{\\\""type\\\"": \\\""string\\\"", \\\""value\\\"": \\\""2061261018983115\\\"", \\\""format\\\"": \\\""9-999-999-3115\\\""}\""\n}""]"
json,JSONAdapter(),pii-0008,ok,,2.8090184470056556,1,json_object,53,56,0.9464,False,AMOUNT;CURRENCYSYMBOL;FIRSTNAME,,,2761,0,3,0.0,0,"[""{\n  \""pii\"": \""{\\\""type\\\"": \\\""string\\\"", \\\""value\\\"": \\\""5498311600000000000\\\"", \\\""country_code\\\"": \\\""JP\\\"", \\\""account_number\\\"": \\\""0000000000000000\\\"", \\\""accountname\\\"": \\\""Toy\\\"", \\\""age\\\"": \\\""\\\"", \\\""amount\\\"": \\\""549831.16\\\"", \\\""bic\\\"": \\\""\\\"", \\\""bitcoinaddress\\\"": \\\""\\\"", \\\""buildingnumber\\\"": \\\""\\\"", \\\""city\\\"": \\\""\\\"", \\\""companyname\\\"": \\\""\\\"", \\\""county\\\"": \\\""\\\"", \\\""creditcardcvv\\\"": \\\""\\\"", \\\""creditcardissuer\\\"": \\\""\\\"", \\\""creditcardnumber\\\"": \\\""\\\"", \\\""currency\\\"": \\\""JPY\\\"", \\\""currencycode\\\"": \\\""JP\\\"", \\\""currencyname\\\"": \\\""Japanese yen\\\"", \\\""currencysymbol\\\"": \\\""\\\"", \\\""date\\\"": \\\""\\\"", \\\""dob\\\"": \\\""\\\"", \\\""email\\\"": \\\""\\\"", \\\""ethtoken\\\"": \\\""\\\"", \\\""eyecolor\\\"": \\\""\\\"", \\\""firstname\\\"": \\\""\\\"", \\\""gender\\\"": \\\""\\\"", \\\""height\\\"": \\\""\\\"", \\\""iban\\\"": \\\""\\\"", \\\""ip\\\"": \\\""\\\"", \\\""ipv4\\\"": \\\""\\\"", \\\""ipv6\\\"": \\\""\\\"", \\\""jobarea\\\"": \\\""\\\"", \\\""jobtitle\\\"": \\\""\\\"", \\\""jobtype\\\"": \\\""\\\"", \\\""lastname\\\"": \\\""\\\"", \\\""litecoinaddress\\\"": \\\""\\\"", \\\""mac\\\"": \\\""\\\"", \\\""maskednumber\\\"": \\\""\\\"", \\\""middlename\\\"": \\\""\\\"", \\\""nearbygpscoordinate\\\"": \\\""\\\"", \\\""ordinaldirection\\\"": \\\""\\\"", \\\""password\\\"": \\\""\\\"", \\\""phoneimei\\\"": \\\""\\\"", \\\""phonenummer\\\"": \\\""\\\"", \\\""pin\\\"": \\\""\\\"", \\\""prefix\\\"": \\\""\\\"", \\\""secondaryaddress\\\"": \\\""\\\"", \\\""sex\\\"": \\\""\\\"", \\\""ssn\\\"": \\\""\\\"", \\\""state\\\"": \\\""\\\"", \\\""street\\\"": \\\""\\\"", \\\""time\\\"": \\\""\\\"", \\\""url\\\"": \\\""\\\"", \\\""useragent\\\"": \\\""\\\"", \\\""username\\\"": \\\""\\\"", \\\""vehiclevin\\\"": \\\""\\\"", \\\""vehiclevrm\\\"": \\\""\\\"", \\\""zipcode\\\"": \\\""\\\""}\""\n}""]"
json,JSONAdapter(),pii-0009,ok,,0.9061478709918447,1,json_object,53,56,0.9464,False,CREDITCARDCVV;FIRSTNAME;MASKEDNUMBER,,,2500,0,3,0.0,0,"[""{\n\""pii\"": \""{\\\""type\\\"": \\\""string\\\"", \\\""format\\\"": \\\""K-4-4-3-9-9-9-1\\\"", \\\""country\\\"": \\\""US\\\"", \\\""state\\\"": \\\""California\\\"", \\\""city\\\"": \\\""San Francisco\\\"", \\\""accountnumber\\\"": \\\""7749388860497381\\\"", \\\""accountname\\\"": \\\""Elenor\\\"", \\\""birthdate\\\"": \\\""196\\\"", \\\""creditcardnumber\\\"": \\\""196\\\"", \\\""expirationdate\\\"": \\\""\\\"", \\\""cvc\\\"": \\\""9\\\"", \\\""address\\\"": \\\""123 Main St\\\"", \\\""zipcode\\\"": \\\""95001\\\""}\""\n}""]"
