adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,7.159549803000004,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,963
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,1.668081218999987,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1023
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,4.6505928419999805,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1383
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,1.3210110379999946,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,929
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,2.1676475819999723,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1074
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,0.8446890419999704,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,840
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,1.842505339000013,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,953
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,2.2423649659999683,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,923
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,1.55575367900002,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,857
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,1.8853816889999848,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,933
